NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Perspectivas a Respeito do Trabalho Feminino nas Regiões Metropolitanas de São Paulo e Recife neste Final de Século. Exame de Qualificação.","1999","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Características da Inserção Ocupacional dos Jovens no Brasil","2002","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","Trabalho infantil e famílias em Regiões Metropolitanas brasileiras","2003","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","NAO_INFORMADO","Relações de trabalho feminino no campo. Caso das mulheres e crianças quebradeiras de coco babaçu e a atuação sindical rural","2004","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","O Impacto da migração de professores no Sistema Educacional da Jamaica","2009","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","The Impact of Poverty Reduction Program on Rural Poverty in indonesia","2011","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","Globalisation Forces in Africa: Analysis of Youth Employment Opportunities. A case of Tanzania, East Africa.","2012","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Participação no mercado de trabalho e nível socioeconômico da população no período 2004-2013","2016","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","Economic Performance, Inequality and The Labour Market: The case of Barbados (Desempenho econômico, desigualdade e mercado de trabalho: O caso de Barbados)","2015","Brasil","Inglês","","NAO","","",8
"Dissertação de mestrado","NAO_INFORMADO","Um Breve Estudo Comparativo sobre o Mercado de Trabalho dos Estados de Mato Grosso e Mato Grosso do Sul em 2003","2005","Brasil","Português","","NAO","","",9
