NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Semana da Economia do Instituto de Economia da UNICAMP","","","","Campinas","",0
"British Sociological Association Work, Employment and Society Conference 2010","","","","University of Brighton","",1
"Ocupação e Rendimento dos Trabalhadores nas Metrópoles do Brasil: uma análise de Gênero em 1992 e 2002","","","","Cidade de México","",2
"British Sociological Association Work, Employment and Society Conference 2010","","","","University of Brighton","",3
"XXIV General Conference IUSSP","","","","Salvaodr - BA","",4
"Conference: Recovery towards what? Finance, justice, sustainability","","","","Londres","",5
"3ª Conferência Nacional de Produtores e Usuários de Informações Estatísticas, Geográficas e Ambientais","","","","Rio de Janeiro","",6
"Primer Colóquio de Economia Política y Pensamiento Crítico","","","","Santiago do Chile","",7
"Workshop Economia e Mercado de Trabalho: Brasil e México","","","","Campinas","",8
"Curso PNAD no SPSS","","","","Instituto de Economia da UNICAMP - Campinas - SP","",9
"XXVI IUSSP Internacional Population Conference","","","","Marrakech","",10
