NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"RELATORIO_TECNICO","O Agro Brasileiro Hoje:regionalização e tendências","2000","Brasil","Português","IMPRESSO","www.eco.unicamp.br/projetos/rurbano.html/","NAO","","",0
"RELATORIO_TECNICO","Emprego Feminino: formas de expansão e natureza da inserção","1999","Brasil","Português","IMPRESSO","","NAO","","",1
"RELATORIO_TECNICO","Mulher, Mercado de Trabalho e Pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a família.","1996","Brasil","Português","IMPRESSO","","NAO","","",2
"RELATORIO_TECNICO","Série de Indicadores Econômicos no Brasil: uma avaliação crítica.","1994","Brasil","Português","IMPRESSO","","NAO","","",3
"CONSULTORIA","Consultora ad-hoc do Fundo de Apoio a Pesquisa (FAEP/FAEPEX), desde 1990","1990","Brasil","Português","NAO_INFORMADO","","NAO","","",4
"CONSULTORIA","Consultora ad-hoc da Revista Brasileira de Economia da Fundação Getúlio Vargas, desde setembro de 1996","1996","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"CONSULTORIA","Consultora ad-hoc da Revista Brasileira de Estudos de População da ABEP, desde 1999","1999","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"CONSULTORIA","Consultora ad-hoc da Fundação de Amparo à Pesqisa do Estado de São Paulo - FAPESP, desde outubro de 1997","1997","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"OUTRA","Membro efetivo da Associação Brasileira de Estudos Populacionais - ABEP, desde 1990","1990","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"OUTRA","Membro efetivo da Associação Brasileira de Estudos do Trabalho - ABET, desde dezembro de 1995","1995","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"RELATORIO_TECNICO","Construindo o Diagnósitco Municipal: Uma metodologia - perguntas estratégicas sobre as principais áreas de administração que o gestor deve fazer","2008","Brasil","Português","IMPRESSO","","NAO","","",10
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de Bauru - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",11
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de Presidente Prudente - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",12
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de Ribeirão Preto - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",13
"RELATORIO_TECNICO","Estudos Regionais - Região Metropolitana da Baixada Santista - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",14
"RELATORIO_TECNICO","Estudos Regionais - Região Metropolitana de Campinas - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",15
"RELATORIO_TECNICO","Estudos Regionais - Região Metropolita de São Paulo - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",16
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de Sorocaba - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",17
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de São José dos Campos - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais","2009","Brasil","Português","IMPRESSO","","NAO","","",18
"RELATORIO_TECNICO","Estudos Regionais - Pólo Econômico de São José do Rio Preto - Relatório Final do Projeto: Regiões Metropolitanas e Pólos Econômicos do Estado de São Paulo: desigualdades e indicadores para as Políticas Sociais.","2009","Brasil","Português","IMPRESSO","","NAO","","",19
"RELATORIO_TECNICO","SEMINÁRIO TRIPARTITE ORGANIZADO PELA OIT - Organização Internacional do Trabalho.","2009","Brasil","Português","IMPRESSO","http://www.oit.org.br/topic/employment/news/news_1.php","NAO","","",20
"ASSESSORIA","Assessoria Científica da Fundação de Amparo à Pesquisa do Estado de São Paulo - FAPESP","2009","Brasil","Português","NAO_INFORMADO","","NAO","","",21
"OUTRA","Membro da International Union for the Scientific Study of Population - IUSSP, desde 2005","2005","Brasil","Português","NAO_INFORMADO","","NAO","","",22
"OUTRA","Membro associado da Sociedade Brasileira de Economia, Administração e Sociologia Rural (SOBER), desde 2007.","2007","Brasil","Português","NAO_INFORMADO","","NAO","","",23
"OUTRA","Coordenadora do GT População e Trabalho nos encontro da ABEP desde 2006.","2006","Brasil","Português","NAO_INFORMADO","","NAO","","",24
"OUTRA","Membro da British Sociological Association (BSA) desde 2010.","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",25
