ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2004,2006,Sistema de Identificação de Polimorfismos,CONCLUIDO,PESQUISA,NULL
2003,2004,Técnicas Avançadas de Engenharia de Software em Bioinformática,CONCLUIDO,PESQUISA,NULL
2007,2010,Convênio AsGa / Unicamp,CONCLUIDO,DESENVOLVIMENTO,NULL
2007,2009,Sistema Integrador de Dados de Expressão Gênica,CONCLUIDO,PESQUISA,NULL
2007,2010,Algoritmos em Otimização Combinatória,CONCLUIDO,PESQUISA,NULL
2007,2010,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais",CONCLUIDO,PESQUISA,NULL
2009,2011,Algoritmos Combinatórios,CONCLUIDO,PESQUISA,NULL
2010,2012,"Algoritmos, Grafos e Otimização Combinatória",CONCLUIDO,PESQUISA,NULL
2012,2014,Reverse Engineering of Audio-Visual Content Data InCo Extension (REWIND),CONCLUIDO,PESQUISA,NULL
2012,2016,"Algoritmos, Grafos e Otimização Combinatória",CONCLUIDO,PESQUISA,NULL
2004,2005,Algorithms and Combinatorics for Computational Molecular Biology,CONCLUIDO,PESQUISA,NULL
2013,NULL,CEPID - Center for Computational Engineering and Sciences,EM_ANDAMENTO,PESQUISA,NULL
2013,2016,Problemas de Distância de Rearranjo de Genomas,CONCLUIDO,PESQUISA,NULL
2015,NULL,Algoritmos para Rearranjos de Genomas,EM_ANDAMENTO,PESQUISA,NULL
2015,NULL,Problemas de Rearranjos de Genomas: Algoritmos e Complexidades,EM_ANDAMENTO,PESQUISA,NULL
