NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Simone Silva de Deos,"DEOS, Simone",NAO,Conflitos sociais e transformações sócio-econômicas na agricultura do sul
Marines Grando,"GRANDO, Marines",SIM,Conflitos sociais e transformações sócio-econômicas na agricultura do sul
José Vicente Tavares,"TAVARES, José Vicente",NAO,Conflitos sociais e transformações sócio-econômicas na agricultura do sul
Simone Silva de Deos,"DEOS, Simone",NAO,Pesquisa da atividade econômica paulista (PAEP) Segmento de Bancos
Maria de Fátima Araújo,"ARAÚJO, Maria de Fátima",SIM,Pesquisa da atividade econômica paulista (PAEP) Segmento de Bancos
Maria Regina Marinho,"MARINHO, Maria Regina",NAO,Pesquisa da atividade econômica paulista (PAEP) Segmento de Bancos
Simone Silva de Deos,"DEOS, Simone",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Ana Rosa R Mendonça Sarti,"SARTI, Ana Rosa R Mendonça",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Marcio Percival Alves Pinto,"PINTO, Marcio Percival Alves",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Paulo Eduardo de Andrade Baltar,"BALTAR, Paulo Eduardo de Andrade",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Carlos Alonso Barbosa de Oliveira,"OLIVEIRA, Carlos Alonso Barbosa de",SIM,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Lígia Dionizio Martins,"MARTINS, Ligia Dionizio",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Rafael Cagnin,"CAGNIN, Rafael",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Camila de Matos Freitas Ribeiro,"RIBEIRO, Camila de Matos Freitas",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Paulo Renato Piccina Amora,"AMORA, Paulo Renato Piccina",NAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Simone Silva de Deos,"DEOS, Simone",NAO,Basel II Adoption and Adaptation in Latin América
José Carlos de Souza Braga,"BRAGA, José Carlos de Souza",NAO,Basel II Adoption and Adaptation in Latin América
Silvina Vatnick,"VATNICK, Silvina",SIM,Basel II Adoption and Adaptation in Latin América
Dante Chianamea,"CHIANAMEA, Dante",NAO,Basel II Adoption and Adaptation in Latin América
Ana Rosa Ribeiro Mendonça,"MENDONÇA, Ana Rosa Ribeiro",NAO,Basel II Adoption and Adaptation in Latin América
Simone Silva de Deos,"DEOS, Simone",SIM,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Andrés López,"LOPEZ, Andrés",NAO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Caio Pinheiro Causo,"CAUSO, Caio Pinheiro",NAO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Davi Encarnação,"ENCARNAÇÃO, Davi",NAO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Rubia Wegner,"WEGNER, Rubia",NAO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Ana Rosa Ribeiro Mendonça,"MENDONÇA, Ana Rosa Ribeiro",NAO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
Simone Silva de Deos,"DEOS, Simone",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Daniela Magalhães Prates,"PRATES, Daniela Magalhães",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Adriana Moreira Amado,"AMADO, Adriana Moreira",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Ana Rosa Ribeiro Mendonça,"MENDONÇA, Ana Rosa Ribeiro",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Carlos Eduardo Carvalho,"CARVALHO, Carlos Eduardo",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Maria Cristina Penido Freitas,"FREITAS, Maria Cristina Penido",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Marco Crocco,"CROCCO, M.",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Frederico G. Jayme jr.,"JAYME JR., F. G.",SIM,Bancos públicos e desenvolvimento econômico no Brasil
JENNIFER HERMANN,"HERMANN, J.",NAO,Bancos públicos e desenvolvimento econômico no Brasil
KURT EBERHART VON METTENHEIM,"METTENHEIM, K. E. V.",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Carlos Augusto Vidotto,"VIDOTTO, C. A.",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Maria Antonieta Del Tedesco Lins,"LINS, Maria Antonieta Del Tedesco",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Luis Fernando Rodrigues de Paula,"PAULA, L. F. R",NAO,Bancos públicos e desenvolvimento econômico no Brasil
Simone Silva de Deos,"DEOS, Simone",SIM,O papel das políticas públicas na internacionalização das grandes empresas
José Carlos de Souza Braga,"BRAGA, José Carlos de Souza",NAO,O papel das políticas públicas na internacionalização das grandes empresas
Giuliano Contento de Oliveira,"OLIVEIRA, G. C.",NAO,O papel das políticas públicas na internacionalização das grandes empresas
Roberto Alexandre Zanchetta Borghi,"BORGHI, R. A. Z.",NAO,O papel das políticas públicas na internacionalização das grandes empresas
Silas Silva,"SILVA, S.",NAO,O papel das políticas públicas na internacionalização das grandes empresas
Simone Silva de Deos,"DEOS, Simone",NAO,Estudos e Pesquisas na Área de Economia Bancária
André Martins Biancareli,"BIANCARELI, André Martins",SIM,Estudos e Pesquisas na Área de Economia Bancária
Giuliano Contento de Oliveira,"OLIVEIRA, G. C.",NAO,Estudos e Pesquisas na Área de Economia Bancária
Heitor Mobílio de Pádua Neto,"PADUA NETO, H. M.",NAO,Estudos e Pesquisas na Área de Economia Bancária
