NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PARTITURA-MUSICAL_Id,PREFACIO-POSFACIO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",0,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",1,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",2,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",3,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",4,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",5,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",6,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",7,,,,,,,,,,,,,,,,
"Clayton Rosa Mamedes","MAMEDES, Clayton Rosa","2","6550096587297485",7,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",8,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",9,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",10,,,,,,,,,,,,,,,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",10,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",11,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",12,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",13,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",14,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",15,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",16,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",17,,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,0,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,1,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,2,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,3,,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,4,,,,,,,,,,,,,,,
"Marcos Branda Lacerda","LACERDA, M. B.","1","",,,0,,,,,,,,,,,,,,
"Rodolfo Caesar","CAESAR, R.","2","",,,0,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,0,,,,,,,,,,,,,,
"Marisa Rezende","REZENDE, M.","4","",,,0,,,,,,,,,,,,,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","5","",,,0,,,,,,,,,,,,,,
"Fernando Iazzeta","IAZZETA, F.","6","",,,0,,,,,,,,,,,,,,
"Rogerio Luiz Moraes Costa","COSTA, R. L. M.","7","",,,0,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,1,,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,0,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,1,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,2,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,3,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,4,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,5,,,,,,,,,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,6,,,,,,,,,,,,,
