NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",0,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",1,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",2,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",3,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",4,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",5,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",6,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",7,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",8,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",9,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",10,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",11,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",12,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",13,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",14,,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,0,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,1,,,,
