NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Festival Internacional De Teatro De Campinas","","","","Campinas - SP","",0
"I Encontro Nacional de Compositores Universitários","","","","Campinas","",1
"X Encontro de Música Contemporânea","","","","São Paulo","",2
"Festival Internacional de Dança de Salvador","","","","Salvador -BA","",3
"Festival Traditioneller Musik 2000 - Amazonia","","","","Berlim","",4
"Reuniao do CLM - Centro de Linguagens Musicais-PUC-SP","","","","PUC-SP","",5
"VII Simpósio Brasileiro de Computação e Música","","","","Curitiba","",6
"Semana "Trilhas Sonoras"","","","","Campinas - SP","",7
"I Festival Internacional de Compositoras","","","","Rio de Janeiro","",8
"Palestra Carreira na Música Eletroacústica","","","","São Paulo","",9
"Projeto CBO 2000 - Classificação Brasileira De Ocupações","","","","Campinas - SP","",10
"Palestra - SESC SP","","","","Santos - SP","",11
"V Forum do Centro de Linguagem Musical - Escola de Comunicações e Artes - USP","","","","São Paulo - SP","",12
"VI Simpósio Brasileiro de Computação e Música","","","","Rio de Janeiro","",13
"EMS/ EMF Sforzando - Eletroacoustic Music Society Conference","","","","New York","",14
"Forum Permanente de Arte & Cultura - Arte e Tecnologia","","","","Campinas","",15
"Semana","","","","Campinas - SP","",16
"Patras International Festival","","","","Patras","",17
