NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Radiopaisagem","2000","Brasil","Português","","","",0
"Doutorado","Relação Som/Imagem","2004","Brasil","Português","","","",1
"Doutorado","Le Tombeau de Couperin (1914-1917) de Maurice Ravel: uma obra de guerra","2008","Brasil","Português","","","",2
"Doutorado","Eldorado: dramaturgia de ator na intracultura","2009","Brasil","Português","","","",3
"Doutorado","Da Indeterminação à Invariância: Considerações sobre Morfologia Musical a partir de peças de caráter aberto","2009","Brasil","Português","","","",4
"Doutorado","O percurso da intersecção Olivier Messiaen - Almeida Prado: Momentos, La Fauvette des Jardins e Cartas Celestes","2010","Brasil","Português","","","",5
"Doutorado","Richard Wagner: portal da regência moderna","2010","Brasil","Português","","","",6
"Doutorado","Os caminhos de Gilberto Mendes e a música erudita no Brasil","2011","Brasil","Português","","","",7
"Doutorado","Músico e ato","2012","Brasil","Português","","","",8
"Doutorado","Palavras sem discurso: estratégias criativas na livre improvisação","2012","Brasil","Português","","","",9
"Doutorado","Percussão e Interatividade PRISMA: Um modelo de Espaço Instrumento Auto-Organizado","2009","Brasil","Português","","","",10
"Doutorado","Ritmo Com Acento: Uma Proposta De Aplicação Da Polirritmia Desenvolvida Por José Eduardo Gramani No Processo Composicional Da Suite 'I Juca Pirama'","2008","Brasil","Português","","","",11
"Doutorado","Continuum, Processo E Escuta Em Territoire de l"oubli","2008","Brasil","Português","","","",12
"Doutorado","Invariâncias e Disposições Textuais: Do Planejamento Composicional à Reflexão Sobre o Processo Criativo","2005","Brasil","Português","","","",13
"Doutorado","Processos Composicionais de Villa-Lobos: Um Guia Teórico","2005","Brasil","Português","","","",14
"Doutorado","A Paixão de Alcaçus: conciliação de diferenças na composição musical","2013","Brasil","Português","","","",15
"Doutorado","A gradação nas obras de György Ligeto dos anos sessenta","2013","Brasil","Português","","","",16
"Doutorado","Violão Expandido: uma abordagem em Edino Krieger, Chico Mello e Arthur Kampela","2013","Brasil","Português","","","",17
"Doutorado","Entre o visual e o sonoro: a composição por imagens visuais","2014","Brasil","Português","","","",18
"Doutorado","Os períodos estilísticos de Cláudio Santoro: roteiros divergentes e conjunção final","2009","Brasil","Português","","","",19
"Doutorado","A paisagem sonora, a criança e a cidade: exercícios de escuta e composição para uma ampliação da ideia de música","2006","Brasil","Português","","","",20
"Doutorado","Design Sonoro e interação em instalações multimídia","2015","Brasil","Português","","","",21
"Doutorado","Entre solfejos e escutas: reescrita crítica e afetos na composição musical","2016","Brasil","Português","","","",22
"Doutorado","A colaboração entre o compositor e o intérprete na aplicação da técnica estendida em duas obras contemporâneas brasileiras para fagote: Vitrais e Fantasia","2016","Brasil","Português","","","",23
"Doutorado","Reflexão e Proposta de Composição por meio de Colagens e Citações","2016","Brasil","Português","","","",24
"Doutorado","Práticas de Criação Musical em Ambientes de Ensino Coletivo aplicando Processos Heurísticos: uma teoria substantiva","2017","Brasil","Português","","","",25
"Doutorado","Aproximações entre tradutologia e os processos criativos em transcrições musicais do Rudepoema de Heitor Villa-Lobos","2017","Brasil","Português","","","",26
"Doutorado","A casa e a represa, a sorte e o corte ou: A composição musical enquanto imaginação de formas, sonoridades, e tempos [e espaços]","2016","Brasil","Português","","","",27
