AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
41,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,
