SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Instabilidade financeira numa economia de mercado de capitais,1998
COMPLETO,Juro a termo e ciclo de preço de ativos,1999
COMPLETO,"Meta inflacionária, juros e preços no varejo brasileiro",2001
COMPLETO,Reflexões sobre o financiamento na economia brasileira,2002
COMPLETO,Resenha: Macroeconomia de inspiração keynesiana,1999
COMPLETO,Controle de capitais e reformas liberais,2006
COMPLETO,A hipótese da instabilidade financeira de Minsky,1998
COMPLETO,Metas de inflação: lições da era Greenspan,2009
COMPLETO,"A trajetória do Banco do Brasil no período recente, 2001-2006: banco público ou banco estatal 'privado'?",2009
COMPLETO,Cooperação financeira no Mercosul e o financiamento do investimento,2013
COMPLETO,A Importância de Instituições Financeiras Regionais para o Fortalecimento da Integração Econômica entre os Países do Mercosul,2011
COMPLETO,Crises in the financial regulation of finance-led capitalism: a Minskyan analysis,2009
COMPLETO,Novoclássicos e novokeynesianos: algumas considerações sobre as semelhanças e diferenças nos fundamentos microeconômicos e no tratamento da dicotomia entre fenômenos monetários e reais,1999
COMPLETO,Considerações sobre a noção de concorrência na teoria econômica,1995
COMPLETO,Outras considerações sobre a noção de concorrência ns teoria econômica,1995
COMPLETO,Integração regional e convergência econômica real: lições da experiência europeia,2014
COMPLETO,Banking-System Transformations After the Crisis and Their Impacts on Regulation,2015
COMPLETO,Cooperação financeira e o financiamento da infra-estrutura na América do Sul,2010
