NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
Teoria Econômica I - Introdução à Economia I,GRADUACAO,Faculdade de Ciências Econômicas Contábeis e Admin,Universidade Presbiteriana Mackenzie,ANTERIOR,NULL,1995,NULL,1996
Teoria Econômica II - Introdução à Economia II,GRADUACAO,Faculdade de Ciências Econômicas Contábeis e Admin,Universidade Presbiteriana Mackenzie,ANTERIOR,NULL,1995,NULL,1996
Auxiliar de ensino na Disciplina de Macroeconomia I,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,02,2000,12,2000
Estagiária Docente (PED) na Disciplina de Economia Política I,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,02,2000,12,2000
HO-821 Economia Política I,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ANTERIOR,NULL,2006,NULL,2008
Economia Monetária,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Economia Política I,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Economia Política II,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
História do Pensamento Econômico,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Macroeconomia I,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Tópicos Especiais de Economia IV - Macroeconomia Keynesiana,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Economia Política Contemporânea,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
HO-705 Economia Política I,POS-GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,8,2016,NULL,NULL
HO - 350 Introdução ao Estudo da China,POS-GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,8,2016,NULL,NULL
HO 112 - Macroeconomia,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
HO 350 - Introdução ao Estudo da China,POS-GRADUACAO,Desenvolvimento Econômico,Universidade Estadual de Campinas,ATUAL,08,2016,NULL,NULL
Macroeconomia I,GRADUACAO,Economia,Faculdades de Campinas,ANTERIOR,NULL,2001,NULL,2005
Economia Política I,GRADUACAO,Economia,Faculdades de Campinas,ANTERIOR,NULL,2001,NULL,2005
Macroeconomia II,GRADUACAO,Economia,Faculdades de Campinas,ANTERIOR,NULL,2001,NULL,2005
História do Pensamento Econômico,GRADUACAO,Economia,Faculdades de Campinas,ANTERIOR,NULL,2001,NULL,2005
Economia Política II,GRADUACAO,Economia,Faculdades de Campinas,ANTERIOR,NULL,2001,NULL,2005
Teoria Econômica - Análise Microeconômica II,GRADUACAO,Administração Ciências Contábeis Comércio Exterior,Faculdade de Ciências Contábeis e Administrativas de Taquara,ANTERIOR,NULL,1992,NULL,1993
Teoria Econômica - Análise Microeconômica I,GRADUACAO,Administração Ciências Contábeis Comércio Exterior,Faculdade de Ciências Contábeis e Administrativas de Taquara,ANTERIOR,NULL,1992,NULL,1993
Economia Brasileira,POS-GRADUACAO,Economia,Universidade Federal do Rio Grande do Norte,ANTERIOR,NULL,2008,NULL,2008
