SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Optimal active power dispatch by network flow approach,1988
COMPLETO,A short term hydrothermal scheduling approach for dominantly hydro systems,1991
COMPLETO,Hydro-Dominated Short Term Hydrothermal Scheduling Via Hybrid Simulation-Optimisation Approach: A Case Study,1995
COMPLETO,Uma metodologia de pré-despacho AC com base em um modelo de FPO Newton,2000
COMPLETO,A Hydrothermal Optimal Power Flow Problem Solved by Lagrangian Relaxation Approach,2003
COMPLETO,Unit Commitment of Hydro Dominated Systems,2008
COMPLETO,Performance comparison of artificial neural networks and expert systems applied to flow pattern identification in vertical ascendant gas-liquid flows,2010
COMPLETO,Sistema inteligente para monitoramento e detecção de regimes de escoamento bifásico gás-líquido,2009
COMPLETO,MODELO BASEADO EM COMBINAÇÃO DE PREVISORES PARA PREVISÃO DE SÉRIES TEMPORAIS DE CARGA ELÉTRICA,2011
COMPLETO,A Short-Term Bus Load Forecasting System,2011
COMPLETO,Uma metodologia para melhorar o perfil de tensão de sistemas elétricos de potência,2013
COMPLETO,Intelligent Models to Identification and Treatment of Outliers in Electrical Load Data,2016
COMPLETO,Otimização da exportação da soja brasileira: uma aplicação de um modelo de design de rede,2016
COMPLETO,"Design network model applied to the soybean chain in Brazil: from transportation, warehouse up to exportation",2016
COMPLETO,Optimal dispatch of generating units of the Itaipu hydroelectric plant,2002
NAO_INFORMADO,Analysis of Two-Phase Flow Pattern Identification Methodologies for Embedded Systems,2017
