NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",16,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",17,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",17,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",18,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",18,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",19,,,,
"Luciana da Silva Amaral","Amaral, Luciana da Silva","2","",19,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",19,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",20,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",20,,,,
"Heloisa Fassina Pallini","PALLINI, Heloisa Fassina","3","",20,,,,
"Luciana da Silva Amaral","Amaral, Luciana da Silva","1","",21,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",21,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",21,,,,
"Heloisa Fassina Pallini","PALLINI, Heloisa Fassina","1","",22,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",22,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",22,,,,
"Heloisa Brigantti Asenha","ASENHA, Heloísa Brigantti","1","",23,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",23,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",23,,,,
"Monize Pavan","PAVAN, Monize","1","",24,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",24,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",24,,,,
"Marina Rocha","ROCHA, M.","1","",25,,,,
"Taícia Pacheco Fill","FILL, TAICIA P","2","",25,,,,
"Malavzi, Iran","Malavazi, I","3","",25,,,,
"Cristiane Izumi Wassano","Wassano, C. I.","1","",26,,,,
"Taícia Pacheco Fill","FILL, TAICIA P.","2","",26,,,,
"Maria Luiza Laurindo Vieira","Vieira, M L L","1","",27,,,,
"Taícia Pacheco Fill","FILL, TAICIA P.","2","",27,,,,
"Taícia Pacheco Fill","FILL, TAICIA P","1","",28,,,,
"baretta, Jéssica","Baretta, J.","2","",28,,,,
"Marina Rocha","ROCHA, M.","3","",28,,,,
"Malavzi, Iran","Malavazi, I","4","",28,,,,
"LEADLAY, PETER F.","LEADLAY, PETER F.","5","",28,,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","6","",28,,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","1","",,0,,,
"Pereira, Grace Kelli","Pereira, Grace Kelli","2","",,0,,,
"Geris dos Santos, Regina M.","Geris dos Santos, Regina M.","3","",,0,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","4","3667941735597178",,0,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",,1,,,
"Regina M Geris dos Santos","SANTOS, Regina M Geris dos","2","4019875942806708",,1,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",,1,,,
"Maganhi, Stella H.","Maganhi, Stella H.","1","",,2,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","2","",,2,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","3","3667941735597178",,2,,,
"Caracelli, Ignez","Caracelli, Ignez","4","8956527354576143",,2,,,
"Zukerman-Schpector, Julio","Zukerman-Schpector, Julio","5","4252331837170383",,2,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,3,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",,3,,,
"Florisvaldo dos Santos","SANTOS, F.","1","",,4,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",,4,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",,4,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","1","",,5,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",,5,,,
"DA SILVA, JOSÉ VINICIUS","DA SILVA, JOSÉ VINICIUS","1","",,6,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","2","",,6,,,
"DA SILVA, BIANCA FERREIRA","DA SILVA, BIANCA FERREIRA","3","",,6,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","4","3667941735597178",,6,,,
"DIN, ZIA UD","DIN, ZIA UD","1","",,7,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","2","",,7,,,
"ASSIS, FRANCISCO FAVARO DE","ASSIS, FRANCISCO FAVARO DE","3","",,7,,,
"LAZARIN-BIDÓIA, DANIELLE","LAZARIN-BIDÓIA, DANIELLE","4","",,7,,,
"KAPLUM, VANESSA","KAPLUM, VANESSA","5","",,7,,,
"GARCIA, FRANCIELLE PELEGRIN","GARCIA, FRANCIELLE PELEGRIN","6","",,7,,,
"NAKAMURA, CELSO VATARU","NAKAMURA, CELSO VATARU","7","",,7,,,
"OLIVEIRA, KLEBER THIAGO DE","OLIVEIRA, KLEBER THIAGO DE","8","",,7,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","9","",,7,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","1","",,8,,,
"ASENHA, HELOÍSA BRIGANTI RODRIGUES","ASENHA, HELOÍSA BRIGANTI RODRIGUES","2","",,8,,,
"MARQUES, ANNA SILVIA","MARQUES, ANNA SILVIA","3","",,8,,,
"FERREIRA, ANTÔNIO GILBERTO","FERREIRA, ANTÔNIO GILBERTO","4","",,8,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","5","3667941735597178",,8,,,
"LUCAS, FRANCISCO WILLIAN","LUCAS, FRANCISCO WILLIAN","1","",,9,,,
"MASCARO, LUCIA HELENA","MASCARO, LUCIA HELENA","2","",,9,,,
"Taícia Pacheco Fill","FILL, TAICIA P","3","",,9,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","4","3667941735597178",,9,,,
"FRANCO-JUNIOR, EDISON","FRANCO-JUNIOR, EDISON","5","",,9,,,
"HOMEM-DE-MELLO, PAULA","HOMEM-DE-MELLO, PAULA","6","",,9,,,
"DE LIMA-NETO, PEDRO","DE LIMA-NETO, PEDRO","7","",,9,,,
"CORREIA, ADRIANA N.","CORREIA, ADRIANA N.","8","",,9,,,
"DA'SILVA, JOSÉ VINICIUS","DA'SILVA, JOSÉ VINICIUS","1","",,10,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","2","",,10,,,
"LOTUFO, LETÍCIA VERAS","LOTUFO, LETÍCIA VERAS","3","",,10,,,
"DO'Ó.'PESSOA, CLÁUDIA","DO'Ó.'PESSOA, CLÁUDIA","4","",,10,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","5","",,10,,,
"FIGUEREDO-SOBRINHO, FRANCISCO DE ASSIS AVELINO DE","FIGUEREDO-SOBRINHO, FRANCISCO DE ASSIS AVELINO DE","1","",,11,,,
"LUCAS, FRANCISCO WILLIAN DE SOUZA","LUCAS, FRANCISCO WILLIAN DE SOUZA","2","",,11,,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","3","",,11,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","4","",,11,,,
"MASCARO, LUCIA HELENA","MASCARO, LUCIA HELENA","5","",,11,,,
"CASCIANO, PAULO NAFTALI DA SILVA","CASCIANO, PAULO NAFTALI DA SILVA","6","",,11,,,
"LIMA-NETO, PEDRO DE","LIMA-NETO, PEDRO DE","7","",,11,,,
"CORREIA, ADRIANA NUNES","CORREIA, ADRIANA NUNES","8","7500109652248564",,11,,,
"Enzo Monte Canedo","Canedo, E.","1","",,12,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",,12,,,
"Edenir Rodrigues Pereira-Filho","Pereira-Filho, E.","3","",,12,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","4","3667941735597178",,12,,,
"AMARAL, L. S.","AMARAL, L. S.","1","",,13,,,
"Taícia Pacheco Fill","FILL, T. P.","2","",,13,,,
"SANTOS, L. F. A.","SANTOS, L. F. A.","3","",,13,,,
"RODRIGUES-FILHO, E.","RODRIGUES-FILHO, E.","4","",,13,,,
"Taícia Pacheco Fill","Fil, Taícia Pacheco","1","",,14,,,
"Heloisa Fassina Pallini","PALLINI, Heloisa Fassina","2","",,14,,,
"Luciana da Silva Amaral","Amaral, Luciana da Silva","3","",,14,,,
"SILVA, JOSÉ VINICIUS DA","SILVA, JOSÉ VINICIUS DA","4","",,14,,,
"BIDÓIA, DANIELLE LAZARIN","BIDÓIA, DANIELLE LAZARIN","5","",,14,,,
"PERON, FRANCIELI","PERON, FRANCIELI","6","",,14,,,
"GARCIA, FRANCIELLE PELEGRIN","GARCIA, FRANCIELLE PELEGRIN","7","",,14,,,
"NAKAMURA, CELSO VATARU","NAKAMURA, CELSO VATARU","8","",,14,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","9","",,14,,,
"DIN, ZIA UD","DIN, ZIA UD","1","",,15,,,
"Taícia Pacheco Fill","FILL, TAICIA P.","2","",,15,,,
"DONATONI, M. CAROLINA","DONATONI, M. CAROLINA","3","",,15,,,
"DOS SANTOS, CAROLINA A. A.","DOS SANTOS, CAROLINA A. A.","4","",,15,,,
"BROCKSOM, TIMOTHY J.","BROCKSOM, TIMOTHY J.","5","",,15,,,
"RODRIGUES-FILHO, E.","RODRIGUES-FILHO, E.","6","",,15,,,
"HONG, HUI","HONG, HUI","1","",,16,,,
"Taícia Pacheco Fill","FILL, TAICIA","2","",,16,,,
"LEADLAY, PETER F.","LEADLAY, PETER F.","3","",,16,,,
"BAZIOLI, JAQUELINE","BAZIOLI, JAQUELINE","1","",,17,,,
"AMARAL, LUCIANA","AMARAL, LUCIANA","2","",,17,,,
"Taícia Pacheco Fill","FILL, TAÍCIA","3","",,17,,,
"RODRIGUES-FILHO, EDSON","RODRIGUES-FILHO, EDSON","4","",,17,,,
"Zukerman-Schpector, Julio","Zukerman-Schpector, Julio","1","4252331837170383",,18,,,
"Maganhi, Stella H.","Maganhi, Stella H.","2","",,18,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","3","0741638379707154",,18,,,
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","4","3667941735597178",,18,,,
"Caracelli, Ignez","Caracelli, Ignez","5","8956527354576143",,18,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,0,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",,,0,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,1,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,2,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","1","",,,,0,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,,1,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,,,0
"Anita Jocelyne Marsaioli","Marsaioli, A. J.","1","",,,,,1
"Luciana Gonzaga de Oliveira","Oliveira, L. G.","2","",,,,,1
"Mary Ann Foglio","Foglio, M.A","3","",,,,,1
"Adilson Sartoratto","Sartoratto, A.","4","",,,,,1
"Taícia Pacheco Fill","FILL, Taícia Pacheco","5","",,,,,1
