SEQUENCIA-FORMACAO,NIVEL,CARGA-HORARIA,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,STATUS-DO-CURSO,ANO-DE-INICIO,ANO-DE-CONCLUSAO,NOME-CURSO-INGLES,FORMACAO-COMPLEMENTAR_Id
"18","F","7","033500000006","Universidade Federal de São Carlos","","","90000017","Estudo da Atividade Antimicrobiana em PN","CONCLUIDO","2010","2010","",0
"10","F","15","033500000006","Universidade Federal de São Carlos","","","90000009","Medicinal organic chemistry","CONCLUIDO","2004","2004","",0
"11","F","14","033500000006","Universidade Federal de São Carlos","","","90000010","Macromoléculas como alvos para a produção de fárma","CONCLUIDO","2006","2006","",0
"8","F","14","033500000006","Universidade Federal de São Carlos","","","90000007","Microwave-assisted Organic synthesis","CONCLUIDO","2006","2006","",0
"4","F","32","IXXP00000007","Life Tecnologies","","","90000003","EM em análises clinicas e toxicológicas","CONCLUIDO","2008","2008","",0
"6","F","20","000100000991","Escola Superior de Agricultura "Luiz de Queiroz"","","","90000005","Capacitação em microbiologia","CONCLUIDO","2010","2010","",0
"14","F","9","033500000006","Universidade Federal de São Carlos","","","90000013","Análise de fármacos em fluidos biológicos por HPLC","CONCLUIDO","2005","2005","",0
"12","F","15","033500000006","Universidade Federal de São Carlos","","","90000011","The biology, chemistry and genetics of endophytes","CONCLUIDO","2005","2005","",0
"16","F","14","033500000006","Universidade Federal de São Carlos","","","90000015","Descoberta de novos fármacos: Estratégias clássica","CONCLUIDO","2006","2006","",0
"9","F","15","033500000006","Universidade Federal de São Carlos","","","90000008","New NMR methods in natural products","CONCLUIDO","2004","2004","",0
"5","F","2","033500000006","Universidade Federal de São Carlos","","","90000004","Como escrever artigos cientificos: Estruturação","CONCLUIDO","2010","2010","",0
"7","F","15","033500000006","Universidade Federal de São Carlos","","","90000006","RMN aplicada a alimentos","CONCLUIDO","2005","2005","",0
"13","F","15","033500000006","Universidade Federal de São Carlos","","","90000012","Análise orgância de ambientes e amostras forense","CONCLUIDO","2005","2005","",0
"15","F","14","033500000006","Universidade Federal de São Carlos","","","90000014","Biosynthesis and Biotransformation","CONCLUIDO","2006","2006","",0
