ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"033500000006","Universidade Federal de São Carlos","1","1",0
1,"000200000993","Natural Product Research (Print)","2","",0
2,"000300000995","Arabian Journal of Chemistry","3","",0
3,"007900000004","Universidade Estadual de Campinas","4","2",0
4,"000400000997","Food Analytical Methods (Print)","5","",0
5,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","6","",0
6,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","7","",0
7,"000500000999","Current Nutrition & Food Science","8","",0
8,"000600000990","Revista Virtual de Química","9","",0
9,"001000000998","RSC Advances: an international journal to further the chemical sciences","10","",0
10,"001100000990","Journal of Applied Microbiology (Print)","11","",0
11,"001200000991","Journal of the Brazilian Chemical Society (Online)","12","",0
