NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Macromoléculas como Alvos Para Produção de Fármacos: Obtenção e Caracterização de Proteínas","2006","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",0
"Congresso","Biosynthetic studies of Brasilimides produced by Penicillium brasilianum, an endophyte from Melia azedarach","2013","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",1
"Congresso","Biosynthesis and Biotransformation","2006","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",2
"Congresso","RMN aplicada à alimentos","2005","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",3
"Congresso","Mass Spectrometry as a powerful tool in biosynthetic pathway elucidation of phenylpropanoids produced by the fungus P. brasilianum","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",4
"Congresso","Genome sequencing of P. brasilianum reveals its unique production of fungal phenylpropanoids","2015","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",5
"Congresso","Atividade antibiótica de substâncias produzidas pelo fungo Penicillium sp., um endofítico de Melia azedarach","2007","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",6
"Congresso","Descoberta de Novos Fármacos: Estratégias Clássicas e Racionais","2006","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",7
"Congresso","Microwaved-assited Organic Synthesis","2006","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",8
"Congresso","Estudo da cinética de produção da substância Brasiliamida A pelo fungo Penicillium sp., isolado de melia azedarach.","2008","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",9
"Congresso","The effect of Phenylalanine addition on the biosynthesis of Bis-phenylpropanoid amides in the fungus Penicillium sp. isolated as endophyte from Melia azedarach.","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",10
"Congresso","Análise por HPLC de amidas bis-fenilpropanoidicas em culturas do fungo Penicillium sp.","2006","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",11
"Congresso","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",12
"Congresso","Análise Orgânica de Ambientes e Amostras Forenses","2005","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",13
"Congresso","The Biology, Chemistry and Genetics of Endophytes","2005","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",14
"Congresso","New NMR Methods in natural products","2004","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",15
"Congresso","PROFILING HALOGENATED METABOLITES IN Penicillium AND Xylaria SPECIES WITH HALOGENATED PRECURSORS ADDED TO THE CULTIVATION MEDIUM","2010","Itália","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","PROFILING HALOGENATED METABOLITES IN Penicillium AND Xylaria SPECIES WITH HALOGENATED PRECURSORS ADDED TO THE CULTIVATION MEDIUM","NAO",16
"Congresso","Estudo biossintético de amidas bis-fenilpropanoídicas produzidas pelo fungo Penicillium brasilianum","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",17
"Congresso","Medicinal Inorganic Chemistry","2004","Brasil","","NAO_INFORMADO","","NAO","","","","","NAO",18
"Congresso","Biosynthesis of phenylpropanoid amides by an endophytic Penicillium brasilianum found in root bark of melia azedarach","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",19
