ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2003,2007,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5.",CONCLUIDO,PESQUISA,"Este estudo compara para os anos de 1992 e 2002, o emprego feminino vis-à-vis o masculino, abrangendo as variáveis setor de atividade, posição na ocupação, rendimentos na ocupação principal e tipos de ocupação. são consideradas também as variáveis relativas a características pessoais como idade e escolaridade. O estudo analisa a diversidade de rendimentos do trabalho numa economia com pouco crescimento."
2005,2006,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6.",CONCLUIDO,PESQUISA,"Comparação da estrutura ocupacional e a diversidade salarial vigente nas principais regiões metropolitanas do Brasil em 2002, desde uma perspectiva de gênero. Este estudo, de um lado, teve a finalidade verificar as características particulares da estrutura ocupacional nas diferentes metrópoles do Brasil. De outro, pretende realizar uma análise da dispersão dos rendimentos do trabalho no interior das ocupações masculinas e femininas, bem como ajudar a entender os efeitos dessas variabilidades nas diferenças ainda grandes de rendimentos entre homens e mulheres ocupados."
2006,2009,Pólos Regionais e Regiões Metropolitanas do Estado de São Paulo: desigualdades sociais e indicadores para políticas - Edital de Chamada MCT/FINEP/FNDCT Pesquisas em Ciências Sociais 04/6.,CONCLUIDO,PESQUISA,"A pesquisa objetiva articular dinâmica econômica, migrações e políticas de transferência de renda nas regiões selecionadas do Estado de São Paulo. Busca-se identificar desigualdades regionais específicas e semehantes, conduzindo a um sistema integrado de informação regional."
2007,2010,"""Mercado de trabalho, gênero e renda familiar"". Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 301737/2006-1.",EM_ANDAMENTO,PESQUISA,"Analisou a evolução recente da estrutura ocupacional e dos rendimentos do trabalho das pessoas ocupadas, sob uma perspectiva de gênero, avaliando suas repercussões na renda das famílias. De um lado, verifica a situação global do mercado de trabalho para homens e mulheres com base nas taxas de ocupação, participação e desemprego; as especificidades da estrutura ocupacional no que se refere à posição na ocupação, grupos de ocupação e setor de atividade e as alterações na distribuição dos rendimentos do trabalho de homens e mulheres. Na análise dos rendimentos do trabalho considera os diferentes níveis de escolaridade dos trabalhadores. De outro, analisa a evolução dos domicílios com mulher na atividade econômica e as implicações da renda do trabalho da mulher na renda familiar."
2008,2008,Construindo o Diagnóstico Municipal: Uma metodologia - Centro de Estudos e Pesquisas de Administração Municipal - CEPAM,CONCLUIDO,PESQUISA,A pesquisa ofereceu subsídios metodológicos aos gestores das prefeituras dos municípios de pequeno ou médio porte para que possam elaborar diagnósitcos da situação local
2010,2013,"Ocupação, gênero e renda familiar na dinâmica recente do mercado de trabalho",CONCLUIDO,PESQUISA,"No novo contexto econômico, caracterizado pela passagem da recuperação da atividade econômica para o crescimento e pela interrupção deste crescimento, esta linha de pesquisa abrange o estudo da estrutura ocupacional e os rendimentos do trabalho de homens e de mulheres e as repercussões da ampliação do trabalho feminino para a renda familiar no conjunto do período 2004-2008, de forma a caracterizar o período da recuperação e do crescimento da economia brasileira. A pesquisa abrange também o exame das diferenças de consumo segundo o nível de renda das famílias para avaliar os impactos do desempenho favorável do mercado de trabalho sobre o consumo de bens e serviços das famílias. Um último aspecto que a linha de pesquisa aprofunda e que permeia toda a pesquisa é a segregação ocupacional por sexo."
2001,2003,"""Estrutura ocupacional e Padrão de Inserção Feminina no Brasil"". Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 523505/96-5.",CONCLUIDO,PESQUISA,"O objetivo deste projeto foi aplicar a metodologia desenvolvida no projeto anterior com o objetivo de pesquisar a diversidade de padrões de inserção ocupacional feminina e relacionar as diferenças observadas ao dinamismo e densidade ocupacional dos mercados de trabalho das distintas localidades. Em particular, pretende constatar se a diversidade ocupacional feminina, verificada para a metrópole de São Paulo, é um fenômeno específico desta região metropolitana ou, se pelo contrário, também ocorre em outras metrópoles e áreas urbanas do país. Além disto, será realizada uma comparação inter-temporal para verificar eventuais mudanças nos padrões de inserção ocupacional feminina que ocorreram na década de 90."
1999,2001,"""Mudanças no Mercado de Trabalho Feminino: diversidade da inserção na Região Metropolitana de São Paulo nos anos 90"". Bolsa de produtividade em Pesquisa - PQ 1C - Processo: 523505/96-5.",CONCLUIDO,PESQUISA,"O objetivo deste projeto foi avaliar a qualidade da inserção ocupacional feminina na região metropolitana de São Paulo, no ano de 1997, através da identificação de padrões de ocupação das mulheres. Com base nas informações da PNAD e utilizando dois métodos estatísticos multivariados (Correspondências Múltiplas e Classificação) são construídos grupos homogêneos de trabalhadoras formados com variáveis ?proxies? de características qualitativas do emprego tais como nível de renda, idade, escolaridade e jornada de trabalho. A composição desses grupos é avaliada quanto as semelhanças e diferenças das trabalhadoras segundo as características observadas analisando-se, também, a importância relativa das diferentes posições na ocupação e setores de atividade em cada grupo. Do ponto de vista dos tipos de postos de trabalho que são gerados pelos diferentes setores da atividade econômica examina-se a composição de cada um dos setores e posições na ocupação em termos dos grupos ocupacionais. Os resultados mostram que o emprego feminino pode ser bem caracterizado com base numa classificação das mulheres ocupadas a partir da escolha apropriada de algumas variáveis da PNAD."
1997,1998,"""Emprego Feminino: Formas de Expansão e Natureza da Inserção"". Bolsa de Produtividade em Pesquisa - PQ 1C - processo: 523505/96-5.",CONCLUIDO,PESQUISA,NULL
2006,2008,"""Mercado de trabalho, gênero e renda familiar"". Edital CNPq 04/2008 - Apoio Técnico, Processo: 502299/2008-8.",CONCLUIDO,PESQUISA,"Este projeto deu suporte ao projeto de produtividade em pesquisa do mesmo nome e possibilitou a realização da monografia ""Perfil dos trabalhadores que ganham salário mínimo"" da aluna Alessandra Scalioni Brito."
