ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2003,2005,Web-Maps,CONCLUIDO,DESENVOLVIMENTO,"Desenvolvimento de um sistema de geração de mapas na internet, com informações agrícolas extraídas a partir de imagens de satélite."
1998,2004,SAI - Sistemas Avançados de Informação,CONCLUIDO,PESQUISA,Este projeto teve como objetivo principal o desenvolvimento de sistemas avançados de informação. Minha colaboração foi em técnicas de recuperação de imagens por conteúdo.
2004,2008,Análise de Imagens de Parasitos Intestinais do Homem,CONCLUIDO,PESQUISA,"Este projeto teve como meta o desenvolvimento de técnicas de segmentação e reconhecimento de padrões para análise de imagens de parasitos intestinais do homem, obtidas por uma câmera digital acoplada a um microscópio biológico. O projeto contou com a colaboração de pesquisadores da Parasitologia - UNICAMP e Faculdade de Ciências Farmacêuticas - USP - SP. Os resultados demonstraram a viabilidade do diagnóstico automatizado de enteroparasitoses por análise de imagens. Este tópico será investigado em um novo projeto."
1999,2001,Segmentação e Visualização de Imagens Médicas,CONCLUIDO,PESQUISA,"Estudo e desenvolvimento de técnicas de segmentação e visualização 3D interativas de imagens tomográficas (CT, MRI, MRA)"
2001,2003,Transformada Imagem-Floresta e suas Aplicações em Processamento de Imagens,CONCLUIDO,PESQUISA,Desenvolvimento de operadores de processamento de imagens baseados na transformada imagem-floresta.
2003,2005,"Processamento, Visualização e Análise de Imagens Médicas",CONCLUIDO,PESQUISA,"Estudo e desenvolvimento de técnicas de processamento, visualização e análise de imagens médicas (CT, MRI, MRA, etc) e de microscopia óptica. Enfoque na proposta e desenvolvimento da transforma imagem-floresta, com sua valiação em aplicações envolvendo imagens médicas."
2005,2010,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento",CONCLUIDO,PESQUISA,"Este é um projeto temático envolvendo pesquisadores da Faculdade de Ciências Médicas - UNICAMP, do Instituto de Computação - UNICAMP, da Faculdade de Engenharia Elétrica e de Computação - UNICAMP, e do Instituto de Física - UNICAMP. O foco principal é o estudo de epilepsia de lobo temporal mesial através de vários métodos. Eu colaboro com técnicas de processamento, visualização, e análise de imagens de ressonância magnética do cérebro."
2005,2012,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research,CONCLUIDO,PESQUISA,"Este projeto envolve pesquisa multi-disciplinar entre o Instituto de Computação - UNICAMP e o Instituto de Biologia - UNICAMP. Este projeto visa a pesquisa e o desenvolvimento de ferramentas,NULL
 modelos e técnicas de gerenciamento de dados (imagens, ontologias,NULL
 mapas geográficos) e compartilhamento desses dados com diferentes
 grupos de pesquisa em biodiversidade. Eu colaboro com técnicas de
 recuperação de imagens por conteúdo."
2008,2012,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.,CONCLUIDO,PESQUISA,"Este projeto visa a criação de uma rede de pesquisa multidisciplinar
 para adquirir tecnologia de ponta e estudar a dinâmica cerebral
 associada a epilepsias e outras doenças degenerativas. O projeto envolve pesquisadores de várias instituições do Estado de São Paulo. Eu listo alguns dos pesquisadores principais. Minha colaboração está em técnicas de processamento, visualização, e análise de imagens
 médicas, visando a análise de assimetrias cerebrais, as quais possam
 ser exploradas no estudo, detecção e tratamento de várias doenças
 neurológicas."
2008,2011,"Processamento, Visualização e Análise de Imagens Médicas",CONCLUIDO,PESQUISA,"Estudo e desenvolvimento de técnicas de processamento de imagens, com ênfase em duas aplicações: imagens de ressonância magnética do cérebro humano e imagens de microscopia óptica de parasitos intestinais. No primeiro caso, o projeto visou a análise de assimetrias cerebrais e sua relação com doenças degenerativas, tais como epilepsia, auxiliando à pesquisa em neurologia. No segundo caso, o projeto visou a automatização completa do diagnóstico de enteroparasitoses por análise de imagens. O projeto envolveu a transformada imagem-floresta como metodologia principal; técnicas de otimização para registro de imagens; técnicas de rendering; e análise de padrões em imagens."
