SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"35","Uma abordagem computacional para determinação de polimorfismos de base única","Dissertação de mestrado","",0
"36","Uma abordagem para detecção e remoção de artefatos em seqüências ESTs","Dissertação de mestrado","",0
"34","Enumeração de Traces e Identificação de Breakpoints: Um Estudo de Aspectos da Evolução","Tese de doutorado","",1
"38","Problemas de Comparação de Genomas","Tese de doutorado","",1
"46","Alinhamento Múltiplo Progressivo de Sequências de Proteínas","Dissertação de mestrado","",1
"63","Uma Ferramenta de Auditoria para Algoritmos de Rearranjo de Genomas","Dissertação de mestrado","Sorting Genomes by Prefix Transpositions Problem",1
"71","Alinhamento Múltiplo de Proteínas Utilizando Algoritmos Genéticos","Dissertação de mestrado","",1
"72","Classificação de Sequências e Análise de Diversidade em Metagenômica","Dissertação de mestrado","",1
"89","The Problem of Sorting Permutations by Prefix and Suffix Rearrangements","Tese de doutorado","",1
"90","O Problema da Ordenação por Reversões Ponderadas","Dissertação de mestrado","",1
"100","Algorithms for Sorting by Reversals or Transpositions, with Application to Genome Rearrangement","Tese de doutorado","",1
