AREAS-DO-CONHECIMENTO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
88,,,,,26,,,,,,,,,,,
89,,,,,27,,,,,,,,,,,
90,,,,,28,,,,,,,,,,,
91,,,,,29,,,,,,,,,,,
92,,,,,,0,,,,,,,,,,
93,,,,,,,0,,,,,,,,,
94,,,,,,,1,,,,,,,,,
95,,,,,,,2,,,,,,,,,
96,,,,,,,3,,,,,,,,,
97,,,,,,,4,,,,,,,,,
98,,,,,,,5,,,,,,,,,
99,,,,,,,6,,,,,,,,,
100,,,,,,,7,,,,,,,,,
101,,,,,,,8,,,,,,,,,
102,,,,,,,9,,,,,,,,,
103,,,,,,,10,,,,,,,,,
104,,,,,,,11,,,,,,,,,
105,,,,,,,,0,,,,,,,,
106,,,,,,,,1,,,,,,,,
107,,,,,,,,2,,,,,,,,
108,,,,,,,,3,,,,,,,,
109,,,,,,,,4,,,,,,,,
110,,,,,,,,5,,,,,,,,
111,,,,,,,,6,,,,,,,,
112,,,,,,,,7,,,,,,,,
113,,,,,,,,8,,,,,,,,
114,,,,,,,,9,,,,,,,,
115,,,,,,,,,0,,,,,,,
116,,,,,,,,,3,,,,,,,
117,,,,,,,,,4,,,,,,,
118,,,,,,,,,,0,,,,,,
119,,,,,,,,,,1,,,,,,
120,,,,,,,,,,,0,,,,,
121,,,,,,,,,,,1,,,,,
122,,,,,,,,,,,2,,,,,
123,,,,,,,,,,,3,,,,,
124,,,,,,,,,,,4,,,,,
125,,,,,,,,,,,5,,,,,
126,,,,,,,,,,,,0,,,,
127,,,,,,,,,,,,1,,,,
128,,,,,,,,,,,,2,,,,
129,,,,,,,,,,,,3,,,,
130,,,,,,,,,,,,7,,,,
131,,,,,,,,,,,,8,,,,
132,,,,,,,,,,,,9,,,,
133,,,,,,,,,,,,,0,,,
134,,,,,,,,,,,,,2,,,
135,,,,,,,,,,,,,3,,,
136,,,,,,,,,,,,,4,,,
137,,,,,,,,,,,,,5,,,
138,,,,,,,,,,,,,,0,,
139,,,,,,,,,,,,,,2,,
140,,,,,,,,,,,,,,3,,
141,,,,,,,,,,,,,,,0,
142,,,,,,,,,,,,,,,1,
143,,,,,,,,,,,,,,,,0
144,,,,,,,,,,,,,,,,1
