NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Genome Rearrangements Distance by Fusion, Fission, and Transposition is Easy","2001","Chile","Inglês","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Distância de Reversão de Cromossomos Circulares","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"COMPLETO","Transposition Distance Between a Permutation and its Reverse","1997","Chile","Inglês","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","A New Approach for Approximating The Transposition Distance","2000","Espanha","Inglês","IMPRESSO","","NAO","","","NAO",3
"COMPLETO","Reversal and Transposition Distance of Linear Chromosomes","1998","Bolívia","Inglês","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Sorting by Prefix Transposition","2002","Portugal","Inglês","IMPRESSO","","NAO","","","NAO",5
"COMPLETO","The Syntenic Distance Problem Using Only Fusions and Fissions","2003","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",6
"COMPLETO","Comparison of Genomic DNA to cDNA Alignment Methods","2005","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",7
"RESUMO_EXPANDIDO","New EST Trimming Strategy","2005","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",8
"RESUMO","Analysis of slipped sequences in ESTs Projects","2005","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",9
"COMPLETO","New strategy to detect SNPs","2005","Brasil","Inglês","OUTRO","","NAO","","","NAO",10
"RESUMO","New EST trimming procedure applied to SUCEST sequences","2006","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","NAO",11
"RESUMO","Low quality trimming on SUCEST ESTs","2006","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","NAO",12
"COMPLETO","New EST trimming procedure applied to SUCEST sequences","2007","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",13
"COMPLETO","Polynomial-sized ILP Models for Rearrangement Distance Problems","2007","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",14
