NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Distâncias de Transposição entre Genomas","2005","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Um Consenso Completamente Resolvido entre Árvores Filogenéticas Completamente Resolvidas","2005","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Um Algoritmo para o Problema da Ordenação por Transposições","2004","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Comparação Algébrica de Genomas: o Caso da Distância de Reversão","2007","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Modelos Computacionais para o Escalonamento de Tarefas em Redes de Dutos","2008","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Construção de Filogenias Baseadas em Genomas Completos","2010","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Experimentos em Reconstrução de Árvores Filogenéticas com a Operação de Rearranjo de Genomas Single-Cut-or-Join","2012","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Um Algoritmo Algébrico para o Problema da Distância de Transposição em Rearranjo de Genomas","2013","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Um Algoritmo Eficiente para o Problema do Posicionamento Natural de Antenas","2014","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Alinhamento de sequências restrito por expressão regular usando padrões PROSITE","2016","Brasil","Português","","","",9
