SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"14","Comparison of Genomic DNA to cDNA Alignment Methods","Trabalho publicado em anais de eventos(Completo)","",0
"15","New EST Trimming Strategy","Trabalho publicado em anais de eventos","",0
"20","Analysis of slipped sequences in ESTs Projects","Trabalho publicado em anais de eventos(Resumido)","",0
"21","New strategy to detect SNPs","Trabalho publicado em anais de eventos(Completo)","",0
"23","Analysis of slipped sequences in ESTs Projects","Artigo publicado em periódicos(Completo)","",0
"24","New strategy to detect SNPs","Artigo publicado em periódicos(Completo)","",0
"25","New EST trimming procedure applied to SUCEST sequences","Trabalho publicado em anais de eventos(Resumido)","",0
"26","Low quality trimming on SUCEST ESTs","Trabalho publicado em anais de eventos(Resumido)","",0
"27","Comparação de métodos para determinação de SNPs com medidas de confiabilidade","Outra produção bibliográfica","",0
"28","Um algoritmo para identificação de correlações múltiplas de polimorfismos","Outra produção bibliográfica","",0
"29","New EST trimming strategy","Outra produção bibliográfica","",0
"30","Analysis of slipped sequences in ESTs Projects","Outra produção bibliográfica","",0
"39","New EST trimming procedure applied to SUCEST sequences","Trabalho publicado em anais de eventos(Completo)","",0
"59","Chronological Order of Reversal Events on Rickettsia Genus","Trabalho publicado em anais de eventos(Completo)","",1
"60","Extending Bafna-Pevzner Algorithm","Trabalho publicado em anais de eventos(Completo)","",1
"61","An Improved Algorithm to Enumerate All Traces that Sorts a Signed Permutation by Reversals","Trabalho publicado em anais de eventos(Completo)","",1
"62","Progressive Multiple Protein Sequence Alignment","Trabalho publicado em anais de eventos","Progressive Multiple Protein Sequence Alignment",1
"64","Cassis: detection of genomic rearrangement breakpoints","Artigo publicado em periódicos(Completo)","Cassis: detection of genomic rearrangement breakpoints",1
"65","An Improved 1.375-Approximation Algorithm for the Transposition Distance Problem","Trabalho publicado em anais de eventos","An Improved 1.375-Approximation Algorithm for the Transposition Distance Problem",1
"66","A Simulation Tool for the Study of Symmetric Inversions in Bacterial Genomes","Trabalho publicado em anais de eventos(Completo)","",1
"67","Partial enumeration of traces of solutions for the problem of sorting by signed reversals","Trabalho publicado em anais de eventos(Resumido)","",1
"68","Cassis: detection of genomic rearrangement breakpoints","Trabalho publicado em anais de eventos(Resumido)","",1
"69","First Steps Toward Image Phylogeny","Trabalho publicado em anais de eventos(Completo)","",1
"70","Computing Rearrangement Distance of Every Permutation in the Symmetric Group","Trabalho publicado em anais de eventos","",1
"73","Partial Enumeration of Solutions Traces for the Problem of Sorting by Signed Reversals","Trabalho publicado em anais de eventos","",1
"74","Using Inversion Signatures to Generate Draft Genome Sequence Scaffolds","Trabalho publicado em anais de eventos(Completo)","",1
"75","Partial Enumeration of Traces of Solutions for the Problem of Sorting by Signed Reversals","Outra produção bibliográfica","",1
"76","Constraint Logic Programming Models for Reversal and Transposition Distance Problems","Trabalho publicado em anais de eventos(Completo)","",1
"77","A Flexible Framework for Computing Rearrangement Distance of Every Permutation in the Symmetric Group","Trabalho publicado em anais de eventos(Completo)","",1
"78","On the Distribution of Rearrangement Distances","Trabalho publicado em anais de eventos(Completo)","",1
"79","ALGAe: A Test-bench Environment for a Genetic Algorithm-based Multiple Sequence Aligner","Trabalho publicado em anais de eventos","",1
"80","Two new whole-genome distance measures","Trabalho publicado em anais de eventos","",1
"81","On the Performance of Sorting by Transpositions Without Using Cycle Graph","Trabalho publicado em anais de eventos","",1
"82","Evaluation of genome distance measures using tree-derived distances","Trabalho publicado em anais de eventos","",1
"84","Video Phylogeny: Recovering Near-Duplicate Video Relationships","Trabalho publicado em anais de eventos(Completo)","",1
"85","Improvements to a Multiple Protein Sequence Alignment Tool","Trabalho publicado em anais de eventos(Completo)","",1
"86","Image Phylogeny by Minimal Spanning Trees","Artigo publicado em periódicos(Completo)","Image Phylogeny by Minimal Spanning Trees",1
"87","GRAAu: Genome Rearrangement Algorithm Auditor","Trabalho publicado em anais de eventos(Completo)","",1
"88","On the Performance of Sorting Permutations by Prefix Operations","Trabalho publicado em anais de eventos(Completo)","",1
"92","Sorting Genomes Using Almost-Symmetric Inversions","Trabalho publicado em anais de eventos(Completo)","",1
"93","SIS: a program to generate draft genome sequence scaffolds for prokaryotes","Artigo publicado em periódicos(Completo)","SIS: a program to generate draft genome sequence scaffolds for prokaryotes",1
"96","Sampling solution traces for the problem of sorting permutations by signed reversals","Artigo publicado em periódicos(Completo)","Sampling solution traces for the problem of sorting permutations by signed reversals",1
"97","On the Approximation Ratio of Algorithms for Sorting by Transpositions without Using Cycle Graphs","Trabalho publicado em anais de eventos(Completo)","",1
"98","On the Approximation Ratio for Sorting by Short Swaps","Trabalho publicado em anais de eventos","",1
"99","An Empirical Study for Gap Penalty Score Using a Multiple Sequence Alignment Genetic Algorithm","Trabalho publicado em anais de eventos","",1
