NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,Desenvolvimento de Simulador para Fraturamento Hidráulico em Poços Horizontais
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,Desenvolvimento de algoritmos nume&#769;ricos de perda de carga de poc&#807;os e propagac&#807;a&#771;o de fratura hidra&#769;ulicas (SP3D e PROPAG))
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Advanced Application of Computational Fluid Dynamics for High Performance Aircraft
Empresa Brasileira de Aeronáutica,AUXILIO_FINANCEIRO,Advanced Application of Computational Fluid Dynamics for High Performance Aircraft
CNPq,BOLSA,Elementos Finitos Aplicados a Problemas Multifísicos
Agencia Nacional do Petroleo,COOPERACAO,Simulação de Fraturamento Hidráulico por Injeção de Vapor
Financiadora de Estudos e Projetos,AUXILIO_FINANCEIRO,SIMULA - Algoritmo de elementos finitos para modelar o escoamento de gás dentro de um micro-propulsor
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,Pós-processamento gráfico de cálculos via elementos finitos em micro-computadores
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,Desenvolvimento de biblioteca orientada a objetos para cálculos de elementos finitos em paralelo
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,Aproximação de Grandes deslocamentos em análise estrutural
