NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Instituto de Economia UNICAMP,BOLSA,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Financiadora de Estudos e Projetos,COOPERACAO,Pólos Regionais e Regiões Metropolitanas do Estado de São Paulo: desigualdades sociais e indicadores para políticas - Edital de Chamada MCT/FINEP/FNDCT Pesquisas em Ciências Sociais 04/6.
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"""Mercado de trabalho, gênero e renda familiar"". Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 301737/2006-1."
Centro de Estudos e Pesquisas de Administração Municipal,COOPERACAO,Construindo o Diagnóstico Municipal: Uma metodologia - Centro de Estudos e Pesquisas de Administração Municipal - CEPAM
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Ocupação, gênero e renda familiar na dinâmica recente do mercado de trabalho"
Serviço de Apoio ao Estudante,BOLSA,"Ocupação, gênero e renda familiar na dinâmica recente do mercado de trabalho"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"""Estrutura ocupacional e Padrão de Inserção Feminina no Brasil"". Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 523505/96-5."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"""Mudanças no Mercado de Trabalho Feminino: diversidade da inserção na Região Metropolitana de São Paulo nos anos 90"". Bolsa de produtividade em Pesquisa - PQ 1C - Processo: 523505/96-5."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"""Emprego Feminino: Formas de Expansão e Natureza da Inserção"". Bolsa de Produtividade em Pesquisa - PQ 1C - processo: 523505/96-5."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,OUTRO,"""Mercado de trabalho, gênero e renda familiar"". Edital CNPq 04/2008 - Apoio Técnico, Processo: 502299/2008-8."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"". Edital CNPq 57/2005 - Apoio Técnico. Processo: 503047/2005-8"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"". Edital CNPq 05/2004. Processo: 503527/2004-1.."
NULL,NAO_INFORMADO,"""Mulher, mercado de trabalho e pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a família"". Bolsa de Produtividade em Pesquisa - PQ 1C ."
Secretaria Especial de Políticas para as Mulheres,AUXILIO_FINANCEIRO,"Fortalecimento político das mulheres para garantir e ampliar direitos, promover a igualdade no mundo do trabalho e a autonomia econômica."
Organizacão Internacional do Trabalho,REMUNERACAO,"""Custo do trabalho e medidas de conciliação trabalho e família"" - Colaboração Externa"
