NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de mestrado","Acurácia e dispersão das estimativas dos analistas do mercado de capitais no Brasil: o impacto da adoção do IFRS sobre a qualidade da informação contábil","2013","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Analistas de mercado e modelos de séries temporais: impacto da adoção do padrão IFRS na previsão de lucro das empresas","2015","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Preci&#64257;cação dos riscos do Seguro de Faturamento Agrícola utilizando Cópulas e a Distribuição Odd Log-Logística-Normal","2015","Brasil","Português","","","",2
"Exame de qualificação de doutorado","PRICE TRANSMISSION AND VOLATILITY SPILLOVERS IN THE BIOFUEL-RELATED SECTORS ? COMPARISON BETWEEN BRAZIL, GERMANY AND THE UNITED STATES","2015","Brasil","Português","","","",3
"Exame de qualificação de doutorado","A ESTRUTURA E DINÂMICA DA GOVERNANÇA DOS SISTEMAS AGROALIMENTARES: uma análise da trajetória dos pólos irrigados de fruticultura de Açú-Mossoró e Petrolina-Juazeiro","2015","Brasil","Português","","","",4
"Exame de qualificação de mestrado","INDICADORES DE GESTÃO DOS ARRANJOS PRODUTIVOS CAFEEIROS NO BRASIL: UMA ANÁLISE DE CORRESPONDÊNCIA MÚLTIPLA","2017","Brasil","Português","","","",5
"Exame de qualificação de mestrado","Implementação dos Objetivos de Desenvolvimento Sustentável em empresas: contribuições do Investimento Social Privado no Brasil","2017","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Determinantes Monetários dos Preços de Commodities Minerais","2017","Brasil","Português","","","",7
"Exame de qualificação de mestrado","Financeirização e o Impacto Sobre a Volatilidade dos Retornos de Preços de Commodities Agrícolas","2016","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Análise do impacto do financiamento público no desempenho econômico dos estabelecimentos agropecuários.","2016","Brasil","Português","","","",9
"Exame de qualificação de mestrado","Determinantes da Adoção da Responsabilidade Socioambiental Corporativa: estudos de caso entre empresas brasileiras de capital aberto","2016","Brasil","Português","","","",10
"Exame de qualificação de mestrado","Liquidez e eficiência: evidências empíricas do mercado acionário brasileiro","2017","Brasil","Português","","","",11
