NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","Análise das Operações de Cross-Hedge do Bezerro e do Hedge de Boi Gordo no Mercado Futuro da BM&F","2003","","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Uma análise da alocação de contratos futuros sobre commodities em portfólios diversificados","2010","","Português","NAO_INFORMADO","","NAO","","","NAO",1
"COMPLETO","Futuros agropecuários em portfólios de máxima utilidade esperada","2009","","Português","VARIOS","","NAO","","","NAO",2
"COMPLETO","Balance contable de las naciones de acuerdo con los escenarios de cambios climáticos globales","2009","","Espanhol","MEIO_DIGITAL","[http://www.revistaiic.org/revJul2009.html]","NAO","","","NAO",3
"COMPLETO","Gestão imprudente do risco financeiro como elemento de destruição de valor: uma reflexão a partir do uso de derivativos por empresas líderes brasileiras","2010","","Português","MEIO_DIGITAL","[http://www.revistaiic.org/revEne2010.html]","NAO","","","NAO",4
"COMPLETO","Posições dinâmicas em futuros agropecuários aumentam o desempenho de uma carteira de investimentos diversificada?","2010","","Português","NAO_INFORMADO","","NAO","","","NAO",5
"COMPLETO","Apreçamento de opções sobre taxa de câmbio R$/US$ negociadas no Brasil: uma comparação entre os modelos Black e redes neurais artificiais","2012","","Português","NAO_INFORMADO","","NAO","10.5700/rausp1028","Apreçamento de opções sobre taxa de câmbio R$/US$ negociadas no Brasil: uma comparação entre os modelos Black e redes neurais artificiais","NAO",6
"COMPLETO","Uma análise da gestão de risco de preço por parte dos produtores de café arábica no Brasil","2012","","Português","NAO_INFORMADO","","SIM","","","NAO",7
"COMPLETO","Excesso de confiança em relação aos preços de venda: um estudo entre cafeicultores","2013","","Português","MEIO_DIGITAL","","NAO","10.5700/rausp1095","Excesso de confiança em relação aos preços de venda: um estudo entre cafeicultores","NAO",8
"COMPLETO","IMPACTO DOS CONTRATOS FUTUROS DO IBOVESPA NA VOLATILIDADE DOS ÍNDICES DE AÇÕES NO BRASIL: UMA ANÁLISE NA CRISE DO SUBPRIME","2012","","Português","NAO_INFORMADO","","SIM","","","NAO",9
"COMPLETO","Comportamento dos estabelecimentos de pequeno porte na indústria de transformação no Brasil no período 2000 a 2010 ? uma avaliação em dois setores contrastantes","2013","","Português","NAO_INFORMADO","[http://www.revistacts.net/files/Volumen%208%20-%20N%C3%BAmero%2024/FINAL/SouzaCORREG.pdf]","NAO","","","NAO",10
"COMPLETO","Pequenas empresas industriais de longa permanência no mercado: uma análise a partir da literatura e de evidências empíricas","2014","","Inglês","MEIO_DIGITAL","[http://www.scielo.br/pdf/gp/v21n1/a11v21n1.pdf][doi:10.1590/s0104-530x2014000100011]","NAO","10.1590/S0104-530X2014000100011","","NAO",11
"COMPLETO","Influence of farmers? behavioral attitudes on hedging decisions","2014","","Inglês","MEIO_DIGITAL","","SIM","10.1108/arla-04-2013-0015","Influence of farmers? behavioral attitudes on hedging decisions","NAO",12
"COMPLETO","Derivativos sobre Commodities Influenciam a Volatilidade dos Preços à Vista? Uma análise nos mercados de boi gordo e café arábica no Brasil","2014","","Português","NAO_INFORMADO","[http://www.scielo.br/pdf/resr/v52n3/a01v52n3.pdf]","NAO","","","NAO",13
"COMPLETO","O EFEITO DOS FUNDOS DE PRIVATE EQUITY NAS COTAÇÕES DAS AÇÕES DE EMPRESAS COM ABERTURA DE CAPITAL NO BRASIL ENTRE 2004 A 2007","2014","","Português","NAO_INFORMADO","","NAO","","","NAO",14
"COMPLETO","Novas formas de organização nas cadeias agropecuárias brasileiras: tendências recentes","2014","","Português","NAO_INFORMADO","[http://r1.ufrrj.br/esa/V2/ojs/index.php/esa/article/view/389/390]","NAO","","","NAO",15
"COMPLETO","Formas Plurais de Governança: uma análise das transações de suprimento entre frigoríficos e pecuaristas","2014","","Português","NAO_INFORMADO","","NAO","","","NAO",16
"COMPLETO","Cointegration and causality-in-mean and variance tests: Evidence of price discovery for Brazilian cross-listed stocks","2014","","Português","NAO_INFORMADO","","NAO","","","NAO",17
"COMPLETO","Governança Corporativa e Custo de Capital de Terceiros: Evidências entre Empresas Brasileiras de Capital Aberto","2016","","Português","MEIO_DIGITAL","[http://seer.ufrgs.br/index.php/read/article/view/62739/37601]","NAO","","","NAO",18
"COMPLETO","A Relação entre a Governança Corporativa e a Estrutura de Capital das Empresas Brasileiras no Período 2000-2013","2016","","Português","NAO_INFORMADO","[http://www.periodicos.uem.br/ojs/index.php/Enfoque/article/view/29673]","NAO","","","NAO",19
"COMPLETO","Futures Price Response to Crop Reports in Grain Markets","2016","","Inglês","MEIO_DIGITAL","[doi:10.1002/fut.21764]","NAO","10.1002/fut.21764","","NAO",20
"COMPLETO","The Reaction of Coffee Futures Price Volatility to Crop Reports","2017","","Inglês","MEIO_DIGITAL","[doi:10.1080/1540496x.2016.1205976]","NAO","10.1080/1540496X.2016.1205976","","NAO",21
"COMPLETO","FATORES DETERMINANTES DO USO DE INSTRUMENTOS DE GESTÃO DE RISCO DE PREÇO POR PECUARISTAS DE CORTE DO ESTADO DE SÃO PAULO","2013","","Português","NAO_INFORMADO","","NAO","","","NAO",22
