PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","1990","1991","Conflitos sociais e transformações sócio-econômicas na agricultura do sul","CONCLUIDO","PESQUISA","0","0","0","0","0","Análise do comportamento dos preços pagos pelas indústrias aos produtores familiares de pêssego em Pelotas-RS","","","","NAO","","","",0
1,"1","1997","1998","Pesquisa da atividade econômica paulista (PAEP) Segmento de Bancos","CONCLUIDO","PESQUISA","0","0","0","0","0","Elaboração e análise de informações primárias sobre as mudanças na economia do Estado de São Paulo a partir da década de 1980","","","Pesquisa da atividade econômica paulista (PAEP) Segmento de Bancos","NAO","","","",1
2,"2","2007","2008","Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento","CONCLUIDO","PESQUISA","3","","1","","","Este projeto procura detalhar as normas e regras de uso dos recursos dos fundos públicos ? Fundo de Garantia por Tempo de Serviço (FGTS) e Fundo de Amparo ao Trabalhador (FAT), Fundo Constitucional do Nordeste (FNE), Fundo Constitucional do Norte (FNO) e Fundo Constitucional do Centro-Oeste (FCO) -, a partir de sua experiência recente. Interessa investigar os principais resultados alcançados, os problemas enfrentados e as limitações em suas relações com o sistema de crédito, sobretudo o crédito direcionado, e o fomento do desenvolvimento e da infra-estrutura econômica e social. Interessa, particularmente, levantar as restrições à plena operacionalidade dos fundos, tais como o contingenciamento de crédito para o setor público, imposto pelo Conselho Monetário Nacional pelo Decreto no. 2.827, de 30 de fevereiro de 2001; a Desvinculação de Recursos da União (DRU) que reduz a arrecadação do PIS/ Pasep, os recursos excedentes à reserva mínima de liquidez do FAT etc.
A partir desse diagnóstico, buscará levantar o debate em torno do futuro dos fundos bem como arrolar propostas de mudanças na sua estrutura e no seu desempenho para melhor financiar a infra-estrutura econômica social do país.

Pesquisa no Subprojeto 4: Estudo I: Análise das Restrições ao Uso dos Fundos Públicos ? FGTS, FAT e Fundos Constitucionais de Financiamento Regional ? e Propostas de Aperfeiçoamento","","","Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento","NAO","","","",2
3,"1","2008","2008","Basel II Adoption and Adaptation in Latin América","CONCLUIDO","PESQUISA","","","","","","O objetivo do projeto é fazer uma avaliação da implementação do Acordo de Basiléia II na América Latina.","","","Basel II Adoption and Adaptation in Latin América","NAO","","","",3
4,"1","2008","2009","Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina","CONCLUIDO","PESQUISA","3","","1","","","O objetivo do projeto é avaliar a integração econômica na América do Sul em geral, e no Mercosul em particular e estudar a atração de Investimento Direto Exterior para o Brasil e de que forma este movimento contribue para a competitividade produtiva na região.
Analisa-se também de que forma a integração estimula a internacionalização das empresas e que papel especificamente vem desempenhando o BNDES nesse movimento. Também serão analisados as posssiblidades de integração monetária e financeira no bloco.","","","Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina","NAO","","","",4
5,"3","2009","2009","Bancos públicos e desenvolvimento econômico no Brasil","CONCLUIDO","PESQUISA","","","","","","Objetivo: avaliar, sob várias perspectivas, o papel dos bancos públicos brasileiros","","","Bancos públicos e desenvolvimento econômico no Brasil","NAO","","","",5
6,"4","2010","2011","O papel das políticas públicas na internacionalização das grandes empresas","CONCLUIDO","PESQUISA","","","2","","","Essa pesquisa apresenta dois objetivos principais. O primeiro é examinar como os Estados Nacionais incentivaram a formação de grupos nacionais fortes. Isto é, que tipo de política pública foi adotada pelos Estados Nacionais visando promover as potencialidades empresariais locais. Para isso, propõe-se estudar alguns países selecionados, a saber, Japão, Coréia do Sul, Índia e China, além da União Européia. O segundo objetivo da pesquisa é delinear as políticas públicas implementadas pelos países supracitados orientadas para apoiar a internacionalização de suas empresas, particularmente sob a ótica do fluxo de saída de Investimento Estrangeiro Direto (IED).","","","O papel das políticas públicas na internacionalização das grandes empresas","NAO","","","",6
7,"10","2015","","Estudos e Pesquisas na Área de Economia Bancária","EM_ANDAMENTO","PESQUISA","3","","","","2","O objetivo dessa pesquisa é oferecer uma abordagem alternativa e complementar para a discussão da regulação bancária no Brasil. Essa abordagem alarga o escopo da discussão acerca da regulação prudencial.O intuito é fortalecer não só o sistema bancário, mas toda a economia. Com isso, busca-se discutir a construção de um sistema bancário mais estável e, portanto, mais apto para a missão estratégica de financiar o desenvolvimento do país.","","","Estudos e Pesquisas na Área de Economia Bancária","NAO","","","",8
8,"1","2005","2006","Ciclo de Estudos e Debates sobre o Financiamento do Desenvolvimento no Âmbito do Acordo de Basiléia II","CONCLUIDO","PESQUISA","6","","","","1","As instituições financeiras públicas federais - Caixa Econômica Federal (CEF), Banco do Brasil (BB), Banco da Amazônia (Basa), Banco do Nordeste (BNB) e Banco Nacional de Desenvolvimento Econômico e Social (BNDES) - desempenham um papel relevante no financiamento do desenvolvimento econômico e social. A preservação e expansão dessas funções precisam ser pensadas num ambiente de globalização financeira em que os mecanismos de regulação, supervisão e fiscalização dos sistemas bancários tendem a se homogeneizar internacionalmente. O país implementou as regras do Acordo de Basiléia I, negociado pelo International Basle Committee on Banking Regulations and Supervisory Practices (Comitê de Basiléia), do Banco de Compensações Internacionais (BIS), a partir de 1994. Em junho de 2004, foram delineados os principais parâmetros do chamado Acordo da Basiléia II - International Convergence of Capital Measurement and Capital Standards - que serão debatidas e testadas até o final de 2007. O objetivo desse ciclo de estudos e debates é identificar os possíveis impactos do Acordo de Basiléia II, bem como elaborar possíveis linhas de ação que possam ser úteis à atuação das instituições financeiras públicas federais, especificamente no financiamento do saneamento, da habitação, da infra-estrutura econômica, urbana e social. Dessa forma, procura-se contribuir na direção da sustentabilidade dinâmica das instituições financeiras públicas federais, diante da implementação do Novo Acordo de Capital (Basiléia II). Um desdobramento poderá ser a organização de elementos que apóiem essas instituições, no interior do governo federal, quanto à formulação de um plano orgânico de intervenção dos bancos públicos brasileiros no âmbito de uma política geral de financiamento do desenvolvimento nacional. Buscará sugerir possíveis aperfeiçoamentos, visando ampliar a oferta de crédito para a economia doméstica, sem comprometer a supervisão e as regras prudenciais.","","","Ciclo de Estudos e Debates sobre o Financiamento do Desenvolvimento no Âmbito do Acordo de Basiléia II","NAO","","","",9
9,"1","1988","1989","Infra-estrutura econômica e indicadores sociais.","CONCLUIDO","PESQUISA","0","0","0","0","0","Pesquisa primária com pequenos produtores rurais no Estado do Rio Grande do Sul visando avaliação continuada de indicadores sócio-econômicos","","","","NAO","","","",10
