NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",0,,,,
"Pedro de Camargo","CAMARGO, Pedro de","3","",0,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",0,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",1,,,,
"Adriana Moreira Amado","AMADO, Adriana Moreira","3","",1,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",1,,,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","1","",2,,,,
"Rosângela Corazza","CORAZZA, Rosângela","2","",2,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",2,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",3,,,,
"André Luis Cabral de Lourenço","Lourenço, A.","1","",4,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",4,,,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","1","",5,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",5,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",6,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",6,,,,
"André Martins Biancareli","BIANCARELI, André Martins","1","6746804794811630",7,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",7,,,,
"Claudio S. Maciel","MACIEL, C. S.","1","",8,,,,
"Fernando Macedo","Macedo, Fernando","2","",8,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",8,,,,
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","2","0827106277319544",9,,,,
"André Martins Biancareli","BIANCARELI, André Martins","1","6746804794811630",9,,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","3","",9,,,,
"Raphael Padua","PADUA, R.","4","",9,,,,
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",9,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","2245694745135834",10,,,,
"Adriana Moreira Amado","AMADO, Adriana Moreira","3","",10,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",10,,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","1","",11,,,,
"Patrícia Helena Fernandes Cunha","CUNHA, P. H. F.","2","",11,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",11,,,,
"Fernando Ferrari Filho","FILHO, Fernando Ferrari","4","",12,,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","3","",12,,,,
"Andre Moreira Cunha","CUNHA, A. M.","1","",12,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",12,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","5136633901754773",13,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",13,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",13,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",14,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",14,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",15,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",15,,,,
"Eliane Navarro Rosandiski","ROSANDISKI, E. N.","3","",15,,,,
"Simone Silva de Deos","DEOS, Simone","4","2014231776693159",15,,,,
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","1","2245694745135834",16,,,,
"Antonio Carlos Macedo e Silva","SILVA, A. C. M. E.","2","",16,,,,
"Cláudio Roberto Amitrano","AMITRANO, C. R.","3","",16,,,,
"Simone Silva de Deos","DEOS, Simone","4","2014231776693159",16,,,,
"Célio Hiratuka","HIRATUKA, Célio","2","",17,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","4","2245694745135834",17,,,,
"Antonio Correia de Lacerda","LACERDA, A. C.","3","",17,,,,
"Adriana Marques da Cunha","CUNHA, A. M.","5","",17,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",17,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",18,,,,
"Patrícia Helena Fernandes Cunha","CUNHA, P. H. F.","2","",18,,,,
"Eliane Navarro Rosandiski","ROSANDISKI, E. N.","4","",18,,,,
"Bruno Martarello de Conti","CONTI, B. M.","5","",18,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",18,,,,
"Fernando Ferrari Filho","FILHO, Fernando Ferrari","1","",19,,,,
"LUIS FERNANDO DE PAULA","PAULA, L. F. R.","4","",19,,,,
"Andre Moreira Cunha","CUNHA, A. M.","3","",19,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",19,,,,
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","1","2245694745135834",20,,,,
"vanessa petrelli correia","CORREIA, V. P.","2","",20,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",20,,,,
"vanessa petrelli correia","CORREIA, V. P.","1","",21,,,,
"marisa dos reis botelho","Botelho, Marisa.","2","",21,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",21,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",22,,,,
"Olivia Bullio Mattos","MATTOS, O. B.","3","",22,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",22,,,,
"Antonio Carlos Macedo Silva","SILVA, Antonio Carlos Macedo","1","",23,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",23,,,,
"Maria Cristina Penido Freitas","FREITAS, Maria Cristina Penido","5","",23,,,,
"Vanessa Pretrelli Correa","CORREA, V. P.","3","",23,,,,
"Simone Silva de Deos","DEOS, Simone","4","2014231776693159",23,,,,
"Luiz Gonzaga de Mello Belluzzo","BELLUZZO, Luiz Gonzaga de Mello","1","",,0,,,
"Silvia Maria Schor","SCHOR, Silvia Maria","2","",,0,,,
"Franklin Serrano","SERRANO, Franklin","3","",,0,,,
"Júlio Sergio Gomes de Almeida","ALMEIDA, Júlio Sergio Gomes de","4","",,0,,,
"Frederico Mathias Mazucchelli","MAZUCCHELLI, Frederico Mathias","5","",,0,,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","6","",,0,,,
"Simone Silva de Deos","DEOS, Simone","7","2014231776693159",,0,,,
"Carlos Eduardo de Freitas Vian","VIAN, C. E. F.","2","",,1,,,
"José Maria Ferreira Jardim da Silveira","SILVEIRA, J. M. F. J.","3","",,1,,,
"Carmem Aparecida do Valle Costa Feijó","FEIJO, C. A. V. C.","4","",,1,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,1,,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","3","",,2,,,
"Célio Hiratuka","HIRATUKA, Célio","2","",,2,,,
"Renato Garcia","GARCIA, Renato","4","",,2,,,
"Luis Humberto Villwock","VILLWOCK, Luis Humberto","5","",,2,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,2,,,
"Júlio Sérgio Gomes de Almeida","ALMEIDA, Júlio Sérgio Gomes de","3","",,3,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",,3,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","4","2245694745135834",,3,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","5","",,3,,,
"Maria Cristina Penido Freitas","FREITAS, Maria Cristina Penido","6","",,3,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,3,,,
