NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Teoria macroeconômica e fundamentos microeconômicos","2003","Brasil","Português","","","",0
"Doutorado","Agroindústria, emprego e renda na perspectiva da demanda efetiva","2006","Brasil","Português","","","",1
"Doutorado","Reestruturação do setor lácteo mundial: uma análise da inserção brasileira","2008","Brasil","Português","","","",2
"Doutorado","Estrutura Patrimonial e Padrão de Rentabilidade dos Bancos Privados no Brasil (1970-2008): Teoria, Evidências e Peculiaridades","2009","Brasil","Português","","","",3
"Doutorado","Liquidez Bancária e Empréstimos de Última Instância","2010","Brasil","Português","","","",4
"Doutorado","Financiamento de Empresas Não Financeiras de Capital Aberto no Brasil: Proposição de uma Abordagem Quantílica","2010","Brasil","Português","","","",5
"Doutorado","Metas de inflação numa economia pós-keynesiana","2010","Brasil","Português","","","",6
"Doutorado","Competitividade e Eficiência do Sistema Financeiro Nacional: 1995-2008?","2011","Brasil","Português","","","",7
"Doutorado","Financeirização e o circuito imobiliário no Brasil","2011","Brasil","Português","","","",8
"Doutorado","Análise Sistêmica para Fenômenos Monetários","2011","Brasil","Português","","","",9
"Doutorado","Edificações: um segmento em transformação no ciclo de crescimento dos anos 2000","2012","Brasil","Português","","","",10
"Doutorado","Acordos de Basileia e Bancos no Brasil","2012","Brasil","Português","","","",11
"Doutorado","Fundos constitucionais e o financiamento do desenvolvimento via bancos públicos: uma análise da distribuição de recursos via FNE","2013","Brasil","Português","","","",12
"Doutorado","Porque a economia não é uma ciência evolucionária: uma hipótese antropológica a respeito das origens cristãs do homo economicus","2013","Brasil","Português","","","",13
"Doutorado","Sobre o processo de convergência do sistema financeiro alemão em direção ao padrão anglo saxão: Um exercíio de economia monetária e financeira em uma abordagem de economia política","2014","Brasil","Português","","","",14
"Doutorado","Bancos, ?Shadow Banks? e Moeda Endógena: Desafios à Política Monetária do Federal Reserve no Século XXI","2015","Brasil","Português","","","",15
"Doutorado","Escolhas alocativas e alavancagem: as transformações no sistema financeiro dos Estados Unidos e seus impactos microeconômicos","2016","Brasil","Português","","","",16
"Doutorado","A Economia Monetária de Keynes: a moeda e o sistema financeiro a serviço da produção ou a administração financeira estata","2016","Brasil","Português","","","",17
"Doutorado","he endogeneity of money supply: credit creation in Brazil under the Inflation Targeting Regime","2017","Brasil","Português","","","",18
