NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"Seminário do Projeto FAPESP","","Campinas - SP","Campinas - SP","",0
"Núcleo de Pesquisa Moeda & Crédito da PUC-SP","PUC-SP","PUC-SP","São Paulo","",1
"Seminário sobre Pesquisa em Relações Econômicas Internacionais","","","Rio de Janeiro - RJ","",2
"10th Anniversary Conference of the Association","","","Londres","",3
"Proceedings of The Eighth Annual Conference of the Association for Heterodox Economics","","","Londres","",4
"Seminários Centros e Núcleos","Instituto de Economia","Universidade Estadual de Campinas","Campinas","",5
"Projeto PIB ? Perspectivas de Investimento no Brasil","BNDES","","Rio de Janeiro","",6
"11th Conference of the Association for Heterodox Economics","Association for Heterodox Economics","Kingston University","Londres","",7
"6th International Conference","University of the Basque Country","","Bilbao","",8
"6th International Conference","University of the Basque Country","","Bilbao","",9
"XIV Encontro Nacional de Economia Política","Sociedade brasileira de Economia Política","Pontifícia Universidade católica de São Paulo","São Paulo","",10
"Semana da Economia","Instituto de Economia","Universidade Estadual de Campinas","Campinas","",11
"Coloquio Internacional O Capitalismo com Dominancia Financeira","CECON/IE/UNICAMP","Universidade Estadual de Campinas - Instituto de Economia","Campinas","",12
"II Seminário sobre Pesquisas em Relações Econômicas Internacionais","Ministério das Relações Exteriores","Sala San Tiago Dantas ? Palácio Itamaraty","Brasília","",13
"O papel das políticas públicas na formação e internacionalização dos grandes grupos nacionais: experiências internacionais, desafios brasileiros","Instituto de Economia da Unicamp e Fundap","Auditório do Instituto de Economia da Unicamp","Campinas","",14
"Seminário Internacional ICDD","Society, Work and Development Institute and International Center for Development and Decent Work","University of the Witwatersrand","Johannesburgo","",15
"XVI Encontro Nacional de Economia Política","SEP","Universidade Federal de Uberlândia","Uberlândia","",16
"Seminários Permanentes","Instituto de Economia da Unicamp","Instituto de Economia da Unicamp","Campinas","",17
"VIII Conferência da Universidade Global do Trabalho - GLU","GLU","Unicamp","Campinas","",18
"VIII Conferência da Universidade Global do Trabalho - GLU","GLU","Unicamp","Campinas","",19
"Finance and Inequality in Europe - Interdisciplinary Workshop","Leeds University - Foundation for European Progressive Studies - Jean Jaures Fondation","University of Leeds","Leeds","",20
"17th Conference of the the Research Network Macroeconomics and Macroeoconomic Policies","FMM","Berlim","","",21
"VIII Encontro da AKB","Associação Keynesiana Brasileira","Universidade Federal de Uberlândia","Uberlândia","",22
"Economics Research Seminar Series","Leeds University Business School","Leeds University","Leeds","",23
