NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SEMINARIO","Reflexões sobre o financiamento na economia brasileira","2000","Brasil","Português","NAO","","","NAO",0
"OUTRA","Reflexões sobre o financiamento na economia brasileira","2000","Brasil","Português","NAO","","","NAO",1
"SEMINARIO","A Pesquisa em Relações Econômicas Internacionais no CERI/IE-Unicamp","2008","Brasil","Português","NAO","","","NAO",2
"CONFERENCIA","The Bank of Brazil: the path since the mid-90s","2008","Brasil","Inglês","NAO","","","NAO",3
"CONFERENCIA","Inflation Targenting and the Conduct of Monetary Policy: A Comparative Assessment of the Brazilian and the American Experiences","2006","Brasil","Português","NAO","","","NAO",4
"SEMINARIO","CERI - Linhas de pesquisas e estudos recentes","2009","Brasil","Português","NAO","","","NAO",5
"SEMINARIO","Perspectivas do Investimento na Dimensão do Mercosul e da América Latina","2009","Brasil","Português","NAO","","","NAO",6
"CONFERENCIA","The crises in the financial regulation of the finance-led capitalism: a minskyan analysis.","2009","Inglaterra","Inglês","NAO","","","NAO",7
"CONFERENCIA","The crises in the financial regulation of the finance-led capitalism: a minskyan analysis.","2009","Espanha","Inglês","NAO","","","NAO",8
"CONFERENCIA","From commercial integration and open regionalism to financial cooperation and post-liberal regionalism: the case of Mercosur","2009","Espanha","Inglês","NAO","","","NAO",9
"OUTRA","Da integração comercial e regionalismo aberto à cooperação financeira e regionalismo pós-liberal: o caso do Mercosul.","2009","Brasil","Português","NAO","","","NAO",10
"OUTRA","Inovação e concorrência: um olhar sobre o movimento recente do sistema bancário brasileiro","2008","Brasil","Português","NAO","","","NAO",11
"OUTRA","Cooperação financeira no Mercosul: avaliação dos avanços recentes","2009","Brasil","Português","NAO","","","NAO",12
"SEMINARIO","Cooperação financeira no âmbito da integração sul-americana: o papel das instituições financeiras regionais.?","2010","Brasil","Português","NAO","","","NAO",13
"SEMINARIO","O papel das políticas públicas na formação e internacionalização dos grandes grupos nacionais: a experiência da União Européia e países selecionados","2010","Brasil","Português","NAO","","","NAO",14
"SEMINARIO","Theoretical and Institutional Aspects: A Proposal for a Conceptual Delimitation of Public Banks.","2011","África do Sul","Inglês","NAO","","","NAO",15
"OUTRA","Cooperação Financeira no Mercosul e o Financiamento do Investimento","2011","Brasil","Português","NAO","","","NAO",16
"CONFERENCIA","A regulação do sistema bancário após a crise","2011","Brasil","Português","NAO","","","NAO",17
"CONFERENCIA","Federal public banks in Brazil: historical overview and role in the recent crisis","2012","Brasil","Português","NAO","","","NAO",18
"CONFERENCIA","O papel dos bancos públicos e a experiência brasileira recente","2012","Brasil","Português","NAO","","","NAO",19
"SEMINARIO","Federal Public Banks in Brazil: an overview","2013","Inglaterra","Inglês","NAO","","","NAO",20
"SEMINARIO","Federal Public Banks in Brazil: historical overview and role in the recent crisis","2013","Brasil","Inglês","NAO","","","NAO",21
"SEMINARIO","os bancos too big to fail nos Estados Unidos e a nova regulação: uma crítica a partir de Minsky","2015","Brasil","Português","NAO","","","NAO",22
"SEMINARIO","A Brazilian Perspective of the Chinese Banking System: lessons to be learned","2013","Inglaterra","Inglês","NAO","","","NAO",23
