NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regime de Metas de Inflação: Uma Abordagem Crítica","2004","Brasil","Português","","NAO","","","",0
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Derivativos Financeiros e Gestão de Risco","2003","Brasil","Português","","NAO","","","",1
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Para além do motivo transação: um estudo sobre os determinantes da demanda por moeda na economia pós-keynesiana e novo-keynesiana","2004","Brasil","Português","","NAO","","","",2
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Bancos e a relevância da análise de risco: uma avaliação do `caso´ Parmalat","2005","Brasil","Português","","NAO","","","",3
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regime de Metas Inflacionárias no Brasil","2004","Brasil","Português","","NAO","","","",4
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regime de metas de inflação: uma crítica pós-keynesiana","2005","Brasil","Português","","NAO","","","",5
"INICIACAO_CIENTIFICA","","A Política Fiscal nos EUA: 1980-2005","2007","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","O financiamento do comércio exterior brasileiro pelo Banco do Brasil: 1996-2006","2008","Brasil","Português","","NAO","","","",7
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O Acordo de Basiléia II: Reflexões sobre o processo de Implementação","2007","Brasil","Português","","NAO","","","",8
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Os Acordos da Basiléia e seus desdobramentos para os bancos de desenvolvimento","2007","Brasil","Português","","NAO","","","",9
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regulamentações da Basiléia e a Gestão de Risco da Caixa econômica Federal","2008","Brasil","Português","","NAO","","","",10
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","A Fisionomia e o Efeito do Recente Processo de Democratização do Acesso ao Crédito ao Consumo no Brasil (2003-2007)","2008","Brasil","Português","","NAO","","","",11
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Uma avaliação dos impactos do câmbio sobre a inflação no Regime de Metas: o caso do Brasil","2008","Brasil","Português","","NAO","","","",12
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O papel dos bancos públicos nas economias contemporâneas","2009","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","O debate sobre o papel dos bancos públicos nas economias contemporâneas","2009","Brasil","Português","","NAO","","","",14
"INICIACAO_CIENTIFICA","","A deflação de ativos japoneses na década de 1990 e a crise das hipotecas subprime.","2009","Brasil","Português","","NAO","","","",15
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O Financiamento do Comércio Exterior Brasileiro Pelo Banco do Brasil e Pelo BNDES: 1994-2006","2009","Brasil","Português","","NAO","","","",16
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Papel do BNDES no Recente Processo de Internacionalização das Empresas Brasileiras","2010","Brasil","Português","","NAO","","","",17
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Os Impactos da Crise Financeira Mundial sobre as Economias do Mercosul","2010","Brasil","Português","","NAO","","","",18
"INICIACAO_CIENTIFICA","","Regulação do sistema bancário espanhol: Basileia II e crise financeira internacional","2011","Brasil","Português","","NAO","","","",19
"INICIACAO_CIENTIFICA","","O debate sobre a regulação dos sistemas financeiros no âmbito de alguns fóruns de governança internacionais","2010","Brasil","Português","","NAO","","","",20
"INICIACAO_CIENTIFICA","","Regulamentação bancária nos Estados Unidos: crise e propostas de mudanças","2010","Brasil","Português","","NAO","","","",21
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O Papel dos Bancos Públicos Federais (CEF e BB) na Crise","2011","Brasil","Português","","NAO","","","",22
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Integração Regional e Convergência Econômica: lições da Experiência Europeia","2011","Brasil","Português","","NAO","","","",23
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Uma avaliação da nova regulação para o sistema financeiro proposta em Basileia III","2012","Brasil","Português","","NAO","","","",24
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O Impacto do Acordo de Basiléia III sobre o sistema bancário europeu: uma análise dos impactos através de estudos quantitativos","2012","Brasil","Português","","NAO","","","",25
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O padrão de rentabilidade dos 5 maiores bancos de varejo no Brasil: 2003-2011.","2012","Brasil","Português","","NAO","","","",26
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regulação Bancária na União Européia após a crise","2012","Brasil","Português","","NAO","","","",27
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","A integração monetária da União Europeia e a constituição do Banco Central Europeu","2012","Brasil","Português","","NAO","","","",28
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Regulação do Sistema Financeiro dos EUA após a crise de 2007/2008","2012","Brasil","Português","","NAO","","","",29
"INICIACAO_CIENTIFICA","","Sistema financeiro chinês: caracterização e perspectivas de mudanças","2012","Brasil","Português","","NAO","","","",30
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","O papel dos bancos públicos como determinantes do spread bancário no Brasil","2013","Brasil","Português","","NAO","","","",31
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Sistema Financeiro Chinês: caracterização, processo de internacionalização bancária e principais mudanças após a crise de 2008","2014","Brasil","Português","","NAO","","","",32
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Rumo à União Bancária: o mecanismo único de supervisão do Banco Central Europeu (BCE)","2014","Brasil","Português","","NAO","","","",33
"INICIACAO_CIENTIFICA","","Laboratório de Economia Internacional: relações comerciais e fluxos internacionais de capital - América do Norte (2003-2015)","2016","Brasil","Português","","NAO","","","",34
"INICIACAO_CIENTIFICA","","Laboratório de Economia InternacionalRelações Comerciais, Fluxos Internacionais de Capital e Afrouxamento das Políticas Monetárias - América do Norte (2003-2016)","2017","Brasil","Português","","NAO","","","",35
"INICIACAO_CIENTIFICA","","A dinâmica das relações comerciais no contexto da União Européia","2010","Brasil","Português","","NAO","","","",36
