EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Instituto de Economia da Unicamp","Campinas","24","01039466",0
"Instituto de Economia da Unicamp","Campinas","","",1
"","","","",2
"","","","",3
"","Campinas","","",4
"Instituto de Economia da Unicamp","Campinas","3","1808298X",5
"Instituto de Economia da Unicamp","Campinas","3","1808298X",6
"Instituto de Economia da Unicamp","Campinas","121","01039466",7
"Instituto de Economia da Unicamp","Campinas","4","1808298X",8
"Instituto de Economia da Unicamp","Campinas","5","1808298X",9
"Instituto de Economia da Unicamp","Campinas","8","1808298X",10
"Instituto de Economia da Unicamp","Campinas","10","1808298X",11
"Instituto de Economia da Unicamp","Campinas","23","01039466",12
"Instituto de Economia","Campinas","31","01039466",13
"Fundação SEADE","São Paulo","16","01028839",14
"PUCCAMP","","8","01041495",15
"CNPq","Porto Alegre","200","",16
"Associação Keynesiana Brasileira - AKB","Rio Grande do Sul","3","",17
"","São Leopoldo - RS","","",18
"Terra Magazine","","","",19
"","São Paulo","","",20
"","","","",21
"","","","",22
"","","","",23
"","","30","",24
"Ipea","Brasília","","",25
"","","","",26
"Instituto de Economia da Unicamp","Campinas","","",27
"","","","",28
"","","","",29
"","","","",30
"","","","",31
"","","","",32
"","","","",33
"","","","",34
"","","","",35
