NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Convergência Institucional - Sistema Financeiro Alemão","2007","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Reestruturação do setor lácteo mundial: uma análise da inserção brasileira","2008","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Liquidez bancária e empréstimos de última instância","2009","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Basileia II e a Reestruturação Bancária no Brasil","2010","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Transformações Recentes no Circuito Imobiliário no Brasil","2010","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Um ensaio sobre a relação entre economia e política no pensamento de Schumpeter, Keynes e Hayek","2012","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Edificações: um segmento em transformação no ciclo de crescimento dos anos 2000","2012","Brasil","Português","","","",6
"Exame de qualificação de mestrado","Economia Keynesiana e Economia Marxista (Imperialismo e Capital Financeiro)","2012","Brasil","Português","","","",7
"Exame de qualificação de mestrado","Moeda, Convenção, Contratos e Impostos","2008","Brasil","Português","","","",8
"Exame de qualificação de mestrado","O Padrão de Crescimento da Economia Norte Americana no período 1992-2007","2009","Brasil","Português","","","",9
"Exame de qualificação de mestrado","Por uma Concepção Darwiniana de Economia Evolucionária: Abordagens Pioneiras, Conflitos Teóricos e Propostas Ontológicas","2009","Brasil","Português","","","",10
"Exame de qualificação de mestrado","O Papel dos Bancos Públicos do Brasil e da India no Contexto da Crise Econômica Mundial","2010","Brasil","Português","","","",11
"Exame de qualificação de mestrado","O Financiamento de Longo Prazo para a Integração na América do Sul e o Papel do BNDES","2010","Brasil","Português","","","",12
"Exame de qualificação de mestrado","Infraestrutura Urbana da Região Metropolitana da Grande Vitória: O Caso da Serra","2011","Brasil","Português","","","",13
"Exame de qualificação de mestrado","A regulação estatal nas relações de trabalho no capitalismo financeirizado","2011","Brasil","Português","","","",14
"Exame de qualificação de doutorado","Porque a economia não é uma ciência evolucionária: uma hipótese antropológica","2013","Brasil","Português","","","",15
"Exame de qualificação de mestrado","O PROCESSO DE TRANSFORMAÇÃO DOS ESTADOS DE BEM-ESTAR SOCIAL DA EUROPA OCIDENTAL NO CONTEXTO DA CRISE EUROPEIA (2008-2013)","2014","Brasil","Português","","","",16
"Exame de qualificação de doutorado","As transformações recentes do sistema financeiro norte-americano e as dificuldades da política monetária e da regulação financeirai","2014","Brasil","Português","","","",17
"Exame de qualificação de mestrado","A HIpótese da Instabilidade Financeira e o Encontro de Minsky com a Economia Brasileira","2014","Brasil","Português","","","",18
"Exame de qualificação de mestrado","Tackling youth unemployment in the European Union: in quest of Keynesian imprints since 2000.","2014","Brasil","Português","","","",19
"Exame de qualificação de mestrado","O projeto de integração europeu e a crise da Zona do Euro","2014","Brasil","Português","","","",20
"Exame de qualificação de mestrado","The impact of microfinance on poverty reduction: a case study of Access Bamk Liberia","2014","Brasil","Português","","","",21
"Exame de qualificação de mestrado","O papel macroeconômico das famílias e a geração de fragilidade financeira","2012","Brasil","Português","","","",22
"Exame de qualificação de mestrado","A financeirizaçao do consumo","2013","Brasil","Português","","","",23
"Exame de qualificação de doutorado","omadas de Decisões: Escolhas de Ativos, Alavancagem e Dinâmica Cíclica - As Transformações no Sistema Financeiro dos Estados Unidos","2015","Brasil","Português","","","",24
"Exame de qualificação de doutorado","Escolhas alocativas e alavancagem: as transformações no sistema financeiro dos Estados Unidos e seus impactos microeconômicos","2015","Brasil","Português","","","",25
"Exame de qualificação de doutorado","O processo de transformação dos Estados de Bem-Estar Social no contexto da crise europeia","2017","Brasil","Português","","","",26
"Exame de qualificação de mestrado","Elementos fundamentais do setor bancário e o caso brasileiro no período 1994-2011","2012","Brasil","Português","","","",27
