NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",27,,,,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",27,,,,,,,,,,
"Alex Wilhans Palludeto","PALLUDETO, A. W.","4","",27,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",27,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",28,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",28,,,,,,,,,,
"Olivia Bullio Mattos","MATTOS, O. B.","3","",28,,,,,,,,,,
"Fernanda Ultremare","ULTREMARE, F.","4","",28,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,0,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,1,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,1,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,2,,,,,,,,,
"José Valney de Brito","BRITO, José Valney de","2","2245694745135834",,2,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,2,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,3,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,3,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,4,,,,,,,,,
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","1","0827106277319544",,5,,,,,,,,,
"André Martins Biancareli","BIANCARELI, André Martins","2","6746804794811630",,5,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,5,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,6,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,7,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,7,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","1","2245694745135834",,8,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,8,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,9,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,9,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,9,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,10,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,10,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,11,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,11,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,12,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,13,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,14,,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,15,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,15,,,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",,15,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,16,,,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","2","2245694745135834",,16,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",,16,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,17,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,17,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,0,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,0,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,0,,,,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",,,,1,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,1,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,2,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,2,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,,,2,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,3,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,3,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,4,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,4,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,,,4,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,5,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,,,5,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,6,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,7,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,7,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",,,,7,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,8,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,8,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,9,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,,9,,,,,,,
"Geraldo di giovanni","GIOVANNI, G.","1","",,,,10,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,10,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,11,,,,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","5136633901754773",,,,11,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,12,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,13,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,13,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,14,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,14,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","3","2245694745135834",,,,14,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,15,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,16,,,,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,17,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,17,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,0,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,,,,0,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,1,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,,,,,0,,,,,
"José Valney de Brito","BRITO, José Valney de","2","2245694745135834",,,,,,0,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,,,,0,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,1,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","2","6773853439066878",,,,,,1,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,2,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,3,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,4,,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",,,,,,5,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,5,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","1","",,,,,,6,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,6,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","1","2245694745135834",,,,,,7,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,7,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","1","",,,,,,8,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,8,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,9,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,10,,,,,
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","1","0827106277319544",,,,,,11,,,,,
"André Martins Biancareli","BIANCARELI, André Martins","2","6746804794811630",,,,,,11,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,,,,11,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,,,,,12,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,12,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,13,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,,,,,13,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,14,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,15,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,16,,,,,
"José Vicente Tavares dos Santos","SANTOS, José Vicente Tavares dos","2","",,,,,,16,,,,,
"Marinês Zandavali Grando","GRANDO, Marinês Zandavali","3","",,,,,,16,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,17,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,18,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,19,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,20,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,,,21,,,,,
"Andrés Niembro","NIEMBRO, Andres","2","",,,,,,21,,,,,
"Daniela Ramos","RAMOS, D.","3","",,,,,,21,,,,,
"Rubia Wegner","WEGNER, Rubia","4","2245694745135834",,,,,,21,,,,,
"Cecília Simkievich","SIMKIEVICH, C.","5","",,,,,,21,,,,,
"Simone Silva de Deos","DEOS, Simone","6","2014231776693159",,,,,,21,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,,,22,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,22,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,,,23,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,23,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,24,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,25,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,,,,,25,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,26,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,27,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,28,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,29,,,,,
"Camilla Ruocco","RUOCCO, C.","2","",,,,,,29,,,,,
"Everton S. T. Rosa","ROSA, E. S. T.","3","2245694745135834",,,,,,29,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,30,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,30,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","3","2245694745135834",,,,,,30,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,31,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,32,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,,,33,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,33,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,34,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,34,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","3","2245694745135834",,,,,,34,,,,,
"Fernanda Ultremare","ULTREMARE, F.","4","",,,,,,34,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,35,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,0,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,1,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,2,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,3,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,4,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,5,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,6,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,7,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,8,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,9,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,10,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,11,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,12,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,13,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,14,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,0,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","2","6773853439066878",,,,,,,,0,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,1,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","2","6773853439066878",,,,,,,,1,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,2,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,3,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,4,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,5,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,6,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,,,6,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,7,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,8,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,9,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,10,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,11,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,12,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,13,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,,,13,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,,,,,,,13,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,14,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,15,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,,,15,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,16,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,,,,,17,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,,,17,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,18,,,
"Camilla Ruocco","RUOCCO, C.","2","",,,,,,,,18,,,
"Everton S. T. Rosa","ROSA, E. S. T.","3","2245694745135834",,,,,,,,18,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,,,,,19,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,,,19,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,20,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,21,,,
"Camilla Ruocco","RUOCCO, C.","2","",,,,,,,,21,,,
"Everton S. T. Rosa","ROSA, E. S. T.","3","2245694745135834",,,,,,,,21,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,22,,,
"Luma Souza Ramos","RAMOS, L. S.","2","",,,,,,,,22,,,
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","1","2245694745135834",,,,,,,,23,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,,,,23,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,0,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,1,,
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","2","2245694745135834",,,,,,,,,1,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","3","5136633901754773",,,,,,,,,1,,
"Luiz Fernando de Paula","PAULA, Luiz Fernando de","4","",,,,,,,,,1,,
"Fernando Ferrari Filho","FILHO, Fernando Ferrari","5","",,,,,,,,,1,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","6","",,,,,,,,,1,,
"Antonio Carlos Macedo Silva","SILVA, Antonio Carlos Macedo","7","",,,,,,,,,1,,
"Luiz Gonzaga de Mello Belluzzo","BELLUZZO, Luiz Gonzaga de Mello","1","",,,,,,,,,2,,
"Júlio Sérgio Gomes de Almeida","ALMEIDA, Júlio Sérgio Gomes de","2","",,,,,,,,,2,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,,,,,,,2,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,3,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,4,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,,,,,,5,,
"Renato Garcia","GARCIA, Renato","2","",,,,,,,,,5,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",,,,,,,,,5,,
"Paulo Sergio Fracalanza","Fracalanza, Paulo","4","",,,,,,,,,5,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","5","2245694745135834",,,,,,,,,5,,
"Paulo Jose Wolf","Wolf, Paulo José","6","",,,,,,,,,5,,
"Alex. W. Paludetto","PALUDETTO, A. W.","7","",,,,,,,,,5,,
"Fernanda Ultremare","ULTREMARE, F.","8","",,,,,,,,,5,,
"Simone Silva de Deos","DEOS, Simone","9","2014231776693159",,,,,,,,,5,,
"Leonardo Burlamaqui","BURLAMAQUI, L.","1","",,,,,,,,,6,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,,,,,,6,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","3","",,,,,,,,,6,,
"Simone Silva de Deos","DEOS, Simone","4","2014231776693159",,,,,,,,,6,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,0,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,1,
