NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","Theoretical and Institutional Aspects: A Proposal for a Conceptual Delimitation of Public Banks.","2011","África do Sul","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",0
"Seminário","Coordenadora da Mesa III intitulada: O Acordo de Basiléia e a Gestão Macroeconômica","2006","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",1
"Seminário","Reflexões sobre o financiamento na economia brasileira","2000","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Seminário","Pesquisa em Relações Econômicas Internacionais","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Seminário","Apresentação da pesquisa/livro e presidência de mesa","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",5
"Seminário","O papel das políticas públicas na formação e internacionalização de grandes grupos nacionais: experiências internacionais, desafios brasileiros","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Seminário","Da repressão financeira ao racionamento de crédito","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Seminário","Theories of financial globalization","2006","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",8
"Seminário","","2010","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",10
"Seminário","BRICS ECONOMIES IN THE XXI CENTURY","2016","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",11
"Seminário","Chinese Banking System: Recent Evolution and Internationalization","2013","Inglaterra","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",12
"Seminário","Coordenadora de Mesa intitulada: Mecanismos de gestão de risco e Instabilidade sistêmica?","2005","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",13
"Seminário","","2015","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",14
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",15
"Seminário","Cooperação financeira no âmbito da integração sulamericana: o papel das instituições financeiras regionais","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",16
"Seminário","Reflexões sobre o financiamento na economia brasileira","2000","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",17
"Seminário","","2014","Estados Unidos","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",18
"Seminário","","2006","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",19
"Seminário","Fundos Constitucionais de Financiamento (FCO, FNE e FNO): análise crítica, avaliação da situação e diretrizes","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",20
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",21
"Seminário","Fundos Constitucionais de Financiamento (FCO, FNE e FNO): análise crítica, avaliação da situação e diretrizes","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",22
"Seminário","os bancos too big to fail nos Estados Unidos e a nova regulação: uma crítica a partir de Minsky","2015","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",23
