TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","O Novo Acordo de Basiléia nos Estados Unidos","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"Capítulo de livro publicado","Relações Econômicas Internacionais e o Desenvolvimento do Capitalismo no Brasil: um objeto de pesquisa do Instituto de Economia da Unicamp","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","Cooperação financeira no âmbito da integração sul-americana: o papel das instituições financeiras regionais","2009","Itália","Português","NAO_INFORMADO","","NAO","","","NAO",2
"Capítulo de livro publicado","Uma Proposta de Delimitação Conceitual de Bancos públicos","2010","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"Capítulo de livro publicado","Financiamento do Investimento em um Contexto de Cooperação Financeira: Avaliação dos Avanços no Âmbito do Mercosul","2010","Brasil","Português","VARIOS","http://www.projetopib.org/arquivos/pib_sintese-transversais_vfinal.pdf","NAO","","","NAO",4
"Capítulo de livro publicado","O Papel das Instituições Financeiras Regionais para o Fortalecimento da Cooperação Financeira na América do Sul","2010","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",5
"Capítulo de livro publicado","A Regulação do Sistema Financeiro Após a Crise","2012","Brasil","Português","OUTRO","","SIM","","","NAO",6
"Capítulo de livro publicado","A Crise Europeia e os Limites do Ajuste Deflacionário","2012","Brasil","Português","OUTRO","","NAO","","","NAO",7
"Capítulo de livro publicado","Formação e internacionalização de grandes grupos empresariais: experiências selecionadas da União Europeia","2012","Brasil","Português","OUTRO","","NAO","","","NAO",8
"Capítulo de livro publicado","Apresentação","2012","Brasil","Português","OUTRO","","NAO","","","NAO",9
"Capítulo de livro publicado","Política Econômica","2013","Brasil","Português","OUTRO","","NAO","","","NAO",10
"Capítulo de livro publicado","Economia de Mercado","2013","Brasil","Português","OUTRO","","NAO","","","NAO",11
"Capítulo de livro publicado","A contemporaneidade de Minsky","2012","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",12
"Capítulo de livro publicado","O papel dos bancos públicos e a experiência brasileira recente","2012","Brasil","Português","OUTRO","","NAO","","","NAO",13
"Capítulo de livro publicado","Tendências dos sistemas financeiros após a crise e possibilidades de política financeira para a economia brasileira","2013","Brasil","Português","IMPRESSO","http://www.cgee.org.br/publicacoes/caeb_xxi.php","NAO","","","NAO",14
"Capítulo de livro publicado","Sistema bancário chinês: evolução e internacionalização recente","2015","Brasil","Português","VARIOS","http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/150918_livro_china_em_transformacao.pdf","NAO","","","NAO",15
"Capítulo de livro publicado","Transformações no sistema bancário norte-americano e o papel da regulação","2016","Brasil","Português","IMPRESSO","","NAO","","","NAO",16
"Capítulo de livro publicado","Mercado","2013","Brasil","Português","OUTRO","","NAO","","","NAO",17
