SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,A tensorial framework for color images,2010
COMPLETO,Analysis of Scalar Maps for the Segmentation of the Corpus Callosum in Diffusion Tensor Fields,2013
COMPLETO,A Comparison between k-Optimum Path Forest and k-Nearest Neighbors Supervised Classifiers,2013
COMPLETO,Automatic DTI-based parcellation of the corpus callosum through the watershed transform,2014
COMPLETO,Etiology-based classification of brain white matter hyperintensity on magnetic resonance imaging,2015
COMPLETO,Reduction of cerebral and corpus callosum volumes in childhood-onset systemic lupus erythematosus. A volumetric magnetic resonance imaging analysis,2016
COMPLETO,Extinction Profiles for the Classification of Remote Sensing Data,2016
COMPLETO,Guest Editorial: Special Issue on Vision-based Human Activity Recognition,2015
COMPLETO,Hyperspectral Data Classification Using Extended Extinction Profiles,2016
COMPLETO,iamxt: Max-tree toolbox for image processing and analysis,2017
COMPLETO,Prevalence and features of metabolic syndrome in childhood-onset systemic lupus erythematosus,2017
COMPLETO,"An open, multi-vendor, multi-field-strength brain MR dataset and analysis of publicly available skull stripping methods agreement",2017
COMPLETO,Predominant posterior cerebral cortical atrophy in patients with DMD mutations,2017
COMPLETO,Data-Driven Corpus Callosum Parcellation Method through Diffusion Tensor Imaging,2017
COMPLETO,Magnetic resonance imaging in neuropsychiatric systemic lupus erythematosus: current state of the art and novel approaches,2017
