NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","A tensorial framework for color images","2010","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.patrec.2009.09.030","A tensorial framework for color images","NAO",0
"COMPLETO","Analysis of Scalar Maps for the Segmentation of the Corpus Callosum in Diffusion Tensor Fields","2013","","Inglês","VARIOS","","SIM","10.1007/s10851-012-0377-4","Analysis of Scalar Maps for the Segmentation of the Corpus Callosum in Diffusion Tensor Fields","NAO",1
"COMPLETO","A Comparison between k-Optimum Path Forest and k-Nearest Neighbors Supervised Classifiers","2013","","Português","NAO_INFORMADO","","NAO","10.1016/j.patrec.2013.08.030","A Comparison between k-Optimum Path Forest and k-Nearest Neighbors Supervised Classifiers","NAO",2
"COMPLETO","Automatic DTI-based parcellation of the corpus callosum through the watershed transform","2014","","Inglês","MEIO_DIGITAL","","NAO","10.1590/rbeb.2014.012","Automatic DTI-based parcellation of the corpus callosum through the watershed transform","NAO",3
"COMPLETO","Etiology-based classification of brain white matter hyperintensity on magnetic resonance imaging","2015","","Inglês","MEIO_DIGITAL","","SIM","10.1117/1.jmi.2.1.014002","Etiology-based classification of brain white matter hyperintensity on magnetic resonance imaging","NAO",4
"COMPLETO","Reduction of cerebral and corpus callosum volumes in childhood-onset systemic lupus erythematosus. A volumetric magnetic resonance imaging analysis","2016","","Inglês","MEIO_DIGITAL","","NAO","10.1002/art.39680","Reduction of cerebral and corpus callosum volumes in childhood-onset systemic lupus erythematosus. A volumetric magnetic resonance imaging analysis","NAO",5
"COMPLETO","Extinction Profiles for the Classification of Remote Sensing Data","2016","","Inglês","MEIO_DIGITAL","[doi:10.1109/tgrs.2016.2561842]","NAO","10.1109/TGRS.2016.2561842","","NAO",6
"COMPLETO","Guest Editorial: Special Issue on Vision-based Human Activity Recognition","2015","","Português","MEIO_DIGITAL","[doi:10.14209/jcis.2015.7]","NAO","10.14209/jcis.2015.7","","NAO",7
"COMPLETO","Hyperspectral Data Classification Using Extended Extinction Profiles","2016","","Português","MEIO_DIGITAL","[doi:10.1109/lgrs.2016.2600244]","NAO","10.1109/LGRS.2016.2600244","","NAO",8
"COMPLETO","iamxt: Max-tree toolbox for image processing and analysis","2017","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.softx.2017.03.001","iamxt: Max-tree toolbox for image processing and analysis","NAO",9
"COMPLETO","Prevalence and features of metabolic syndrome in childhood-onset systemic lupus erythematosus","2017","","Inglês","MEIO_DIGITAL","[doi:10.1007/s10067-017-3602-0]","NAO","10.1007/s10067-017-3602-0","","NAO",10
"COMPLETO","An open, multi-vendor, multi-field-strength brain MR dataset and analysis of publicly available skull stripping methods agreement","2017","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.neuroimage.2017.08.021]","SIM","10.1016/j.neuroimage.2017.08.021","","NAO",11
"COMPLETO","Predominant posterior cerebral cortical atrophy in patients with DMD mutations","2017","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.nmd.2017.06.086]","NAO","10.1016/j.nmd.2017.06.086","","NAO",12
"COMPLETO","Data-Driven Corpus Callosum Parcellation Method through Diffusion Tensor Imaging","2017","","Inglês","MEIO_DIGITAL","","SIM","10.1109/access.2017.2761701","Data-Driven Corpus Callosum Parcellation Method through Diffusion Tensor Imaging","NAO",13
"COMPLETO","Magnetic resonance imaging in neuropsychiatric systemic lupus erythematosus: current state of the art and novel approaches","2017","","Inglês","MEIO_DIGITAL","[doi:10.1177/0961203317691373]","NAO","10.1177/0961203317691373","","NAO",14
