NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Marco Antonio Garcia de Carvalho","CARVALHO, M. A. G.","1","",0,,,,
"Francisco de Assis Zampirolli","ZAMPIROLLI, F. A.","2","",0,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","3","6540619386101635",0,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",1,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",1,,,,
"Jane Maryam Rondina","RONDINA, J. M.","4","3342596244863098",1,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","1","9224426261471914",1,,,,
"Leticia Rittner","Rittner, Leticia","3","",2,,,,
"Franklin César flores","FLORES, F. C.","1","0795967777970879",2,,,,
"Nardênio Almeida Martins","MARTINS, N. A.","2","",2,,,,
"Leticia Rittner","RITTNER, Leticia","2","",3,,,,
"Sergio Shiguemi Furuie","FURUIE, S. S.","1","",3,,,,
"Pedro Lemos","LEMOS, P.","3","",3,,,,
"Leticia Rittner","RITTNER, Leticia","2","",4,,,,
"Ricardo da Silva Torres","TORRES, R. S.","4","",4,,,,
"Anderson de Rezende Rocha","ROCHA, A. R.","1","",4,,,,
"Fernando José Von Zuben","ZUBEN, F. J. V.","3","",4,,,,
"Leticia Rittner","RITTNER, L.","1","",5,,,,
"Gabriela Castellano","CASTELLANO, G.","2","5993832413749292",5,,,,
"Brunno Campos Machado","MACHADO, B. C.","3","",5,,,,
"Leticia Rittner","RITTNER, L.","1","",6,,,,
"Léo Pini Magalhães","MAGALHÃES, L. P.","3","8890614481075559",6,,,,
"Edna Marina de Souza","SOUZA, E. M.","2","",6,,,,
"Leticia Rittner","RITTNER, LETÍCIA","3","",7,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",7,,,,
"Claudia Saad Magalhães","MAGALHAES, C. S.","2","",7,,,,
"Sergio Shiguemi Furuie","FURUIE, S. S.","1","",,0,,,
"Hae Yong Kim","KIM, H. Y.","3","",,0,,,
"Eduardo Tavares Costa","COSTA, E. T.","2","",,0,,,
"Nelson Delfino D'Ávila Mascarenhas","MASCARENHAS, N. D. D.","4","",,0,,,
"Pedro Alves Lemos Neto","LEMOS NETO, P. A.","5","",,0,,,
"Carlos Eduardo Rochitte","ROCHITTE, C. E.","6","",,0,,,
"Fernando José Ribeiro Sales","SALES, F. J. R.","7","",,0,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","9","9224426261471914",,0,,,
"Wilson Mathias Júnior","MATHIAS JUNIOR, W.","10","",,0,,,
