TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"PATTERN RECOGNITION LETTERS","01678655","31","","4","277","296","",0
"Journal of Mathematical Imaging and Vision","09249907","45","","3","214","226","",1
"Pattern Recognition Letters","01678655","39","","","2","10","",2
"Revista Brasileira de Engenharia Biomédica (Impresso)","15173151","30","","2","132","143","",3
"Journal of Medical Imaging","23294302","2","","1","014002","","",4
"ARTHRITIS RHEUMATOL","23265191","","","","n/a","n/a","",5
"IEEE Transactions on Geoscience and Remote Sensing","01962892","54","","10","5631","5645","",6
"Journal of Communication and Information Systems (Online)","19806604","30","","1","58","59","",7
"IEEE Geoscience and Remote Sensing Letters (Print)","1545598X","1","","","1","5","",8
"SoftwareX","23527110","6","","","81","84","",9
"CLINICAL RHEUMATOLOGY","07703198","1","","","1","","",10
"NEUROIMAGE","10538119","1","","","1","","",11
"NEUROMUSCULAR DISORDERS","09608966","27","","","S115","","",12
"IEEE Access","21693536","1","","","1","1","",13
"LUPUS","09612033","26","","5","517","521","",14
