NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Renan Ricardo Soares Lobo","LOBO, R. R. S.","1","",,,,,,,,8,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,8,,,,,
"Léo Pini Magalhães","MAGALHÃES, L. P.","3","8890614481075559",,,,,,,,8,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,9,,,,,
"Rubens Campos Machado","MACHADO, R C","2","3022427606876489",,,,,,,,9,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,9,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,10,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","2","9224426261471914",,,,,,,,10,,,,,
"wetzel","Wetzel, L.F.","1","",,,,,,,,11,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,11,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,11,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,12,,,,,
"Simone Appenzeller","APPENZELLER, S.","2","6960131838271951",,,,,,,,12,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,12,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,,,,,,13,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,13,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",,,,,,,,13,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","4","9224426261471914",,,,,,,,13,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,,,,,,14,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,14,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",,,,,,,,14,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","4","9224426261471914",,,,,,,,14,,,,,
"wetzel","Wetzel, L.F.","1","",,,,,,,,15,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,15,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,15,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",,,,,,,,16,,,,,
"Aline Lapa","LAPA, A.","2","9383028834305330",,,,,,,,16,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,16,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",,,,,,,,16,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","5","9224426261471914",,,,,,,,16,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,,,,,,17,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,17,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",,,,,,,,17,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","4","9224426261471914",,,,,,,,17,,,,,
"wetzel","Wetzel, L.F.","1","",,,,,,,,18,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,18,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,18,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,,,,,,19,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,19,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,19,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,20,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","2","9224426261471914",,,,,,,,20,,,,,
"Rubens Campos Machado","MACHADO, R C","1","3022427606876489",,,,,,,,21,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,21,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,21,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,22,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,23,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,24,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,25,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,26,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",,,,,,,,27,,,,,
"Bruce Pike","PIKE, B.","2","",,,,,,,,27,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,27,,,,,
"Gabriel Leonard","LEONARD, G.","4","",,,,,,,,27,,,,,
"Martin Veilleux","VEILLEUX, M.","5","",,,,,,,,27,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",,,,,,,,27,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",,,,,,,,28,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,28,,,,,
"Gabriel Leonard","LEONARD, G.","3","",,,,,,,,28,,,,,
"Martin Veilleux","VEILLEUX, M.","4","",,,,,,,,28,,,,,
"Bruce Pike","PIKE, B.","5","",,,,,,,,28,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",,,,,,,,28,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",,,,,,,,29,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,29,,,,,
"Bruce Pike","PIKE, B.","3","",,,,,,,,29,,,,,
"Gabriel Leonard","LEONARD, G.","4","",,,,,,,,29,,,,,
"Martin Veilleux","VEILLEUX, M.","5","",,,,,,,,29,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",,,,,,,,29,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",,,,,,,,30,,,,,
"Simone Appenzeller","APPENZELLER, S.","10","6960131838271951",,,,,,,,30,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",,,,,,,,30,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,30,,,,,
"Gabriela Castellano","CASTELLANO, G.","4","5993832413749292",,,,,,,,30,,,,,
"Heloisa Ruocco","RUOCCO, H.","5","",,,,,,,,30,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",,,,,,,,30,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",,,,,,,,30,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","8","9224426261471914",,,,,,,,30,,,,,
"Fernando Cendes","CENDES, F.","9","4754944655427183",,,,,,,,30,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",,,,,,,,31,,,,,
"Simone Appenzeller","APPENZELLER, S.","10","6960131838271951",,,,,,,,31,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",,,,,,,,31,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,31,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",,,,,,,,31,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",,,,,,,,31,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",,,,,,,,31,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",,,,,,,,31,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","8","9224426261471914",,,,,,,,31,,,,,
"Fernando Cendes","CENDES, F.","9","4754944655427183",,,,,,,,31,,,,,
"Freitas, Pedro","Freitas, Pedro","1","1621073543117959",,,,,,,,32,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,32,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",,,,,,,,32,,,,,
"Aline Lapa","LAPA, A.","4","9383028834305330",,,,,,,,32,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",,,,,,,,32,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",,,,,,,,33,,,,,
"Simone Appenzeller","APPENZELLER, S.","10","6960131838271951",,,,,,,,33,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",,,,,,,,33,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,33,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",,,,,,,,33,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",,,,,,,,33,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",,,,,,,,33,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",,,,,,,,33,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","8","9224426261471914",,,,,,,,33,,,,,
"Fernando Cendes","CENDES, F.","9","4754944655427183",,,,,,,,33,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",,,,,,,,34,,,,,
"Fernando Cendes","CENDES, F.","10","4754944655427183",,,,,,,,34,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",,,,,,,,34,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,34,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",,,,,,,,34,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",,,,,,,,34,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",,,,,,,,34,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",,,,,,,,34,,,,,
"Simone Appenzeller","APPENZELLER, S.","8","6960131838271951",,,,,,,,34,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","9","9224426261471914",,,,,,,,34,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",,,,,,,,35,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,35,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",,,,,,,,35,,,,,
"Aline Lapa","LAPA, A.","4","9383028834305330",,,,,,,,35,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",,,,,,,,35,,,,,
"Roberto Medeiros de Souza","SOUZA, R.M.","1","0692029921953122",,,,,,,,36,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,36,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","9224426261471914",,,,,,,,36,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,37,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,38,,,,,
"Drew A. TORIGIAN","TORIGIAN, D. A.","2","",,,,,,,,38,,,,,
"Jayaram K. Udupa","UDUPA, J. K.","3","",,,,,,,,38,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,39,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","2","9224426261471914",,,,,,,,39,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","1","",,,,,,,,40,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","2","9224426261471914",,,,,,,,40,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","1","",,,,,,,,41,,,,,
"LEITE, MARIANA","LEITE, MARIANA","2","3166488236335695",,,,,,,,41,,,,,
"André Luis da Costa","COSTA, A. L.","3","",,,,,,,,41,,,,,
"Roberto Medeiros de Souza","SOUZA, R.M.","4","0692029921953122",,,,,,,,41,,,,,
"Rubens Campos Machado","MACHADO, R C","5","3022427606876489",,,,,,,,41,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","6","9224426261471914",,,,,,,,41,,,,,
"André Luis da Costa","COSTA, A. L.","1","",,,,,,,,42,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,,,,,,,42,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","9224426261471914",,,,,,,,42,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",,,,,,,,42,,,,,
"Luis Antonio Tavares","TAVARES, L. A.","1","0531225081277249",,,,,,,,43,,,,,
"Roberto Medeiros de Souza","SOUZA, R.M.","2","0692029921953122",,,,,,,,43,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","3","",,,,,,,,43,,,,,
"Rubens Campos Machado","MACHADO, R C","4","3022427606876489",,,,,,,,43,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",,,,,,,,43,,,,,
"Roberto Medeiros de Souza","SOUZA, R.M.","1","0692029921953122",,,,,,,,44,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,,,,,,,44,,,,,
"Rubens Campos Machado","MACHADO, R C","3","3022427606876489",,,,,,,,44,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",,,,,,,,44,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","1","",,,,,,,,45,,,,,
"LEITE, MARIANA","LEITE, MARIANA","1","3166488236335695",,,,,,,,46,,,,,
"David Gobbi","GOBBI, D.","2","",,,,,,,,46,,,,,
"Marina Saluzzi","SALUZZI, M.","3","",,,,,,,,46,,,,,
"Richard Frayne","FRAYNE, R.","4","",,,,,,,,46,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",,,,,,,,46,,,,,
"Leticia Rittner","Rittner, Leticia","6","",,,,,,,,46,,,,,
"Gustavo Retuci Pinheiro","PINHEIRO, G. R.","1","",,,,,,,,47,,,,,
"Guilherme S. Soares","SOARES, G. S.","2","",,,,,,,,47,,,,,
"COSTA, ANDRÉ L.","COSTA, ANDRÉ L.","3","",,,,,,,,47,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","4","9224426261471914",,,,,,,,47,,,,,
"Leticia Rittner","RITTNER, L.","5","",,,,,,,,47,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,,,,,,48,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,,,,,,48,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",,,,,,,,48,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,0,,,,
"André Vital Saúde","SAÚDE, A. V.","2","0854534935631310",,,,,,,,,0,,,,
"Alexandre Silva","SILVA, A.G.","3","0400880030173624",,,,,,,,,0,,,,
"Rubens Campos Machado","MACHADO, R C","4","3022427606876489",,,,,,,,,0,,,,
"Mariana Bento","BENTO, M.P.","5","3166488236335695",,,,,,,,,0,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","6","9224426261471914",,,,,,,,,0,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,1,,,,
"André Luis da Costa","COSTA, A. L.","2","",,,,,,,,,1,,,,
"Edna Marina de Souza","SOUZA, E. M.","3","",,,,,,,,,1,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,,0,,,
"André Luis da Costa","COSTA, A. L.","2","",,,,,,,,,,0,,,
"Edna Marina de Souza","SOUZA, E. M.","3","",,,,,,,,,,0,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,,1,,,
"André Kazuo Takahata","TAKAHATA, A.K.","1","",,,,,,,,,,,0,,
"Rafael Krummenauer","KRUMMENAUER, R.","10","",,,,,,,,,,,0,,
"Tiago Fernandes Tavares","TAVARES, T. F.","11","",,,,,,,,,,,0,,
"Vanessa Testoni","TESTONI, V.","12","",,,,,,,,,,,0,,
"Daniel Guerreiro e Silva","SILVA, D.G.","2","",,,,,,,,,,,0,,
"Diana Cristina Gonzalez","GONZALEZ, D.C.","3","",,,,,,,,,,,0,,
"Éricles Rodrigues Sousa","SOUSA, E. R.","4","",,,,,,,,,,,0,,
"Everton Zaccaria Nadalin","NADALIN, E. Z.","5","",,,,,,,,,,,0,,
"Guilherme C. Beltramini","BELTRAMINI, G. C.","6","",,,,,,,,,,,0,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","7","6540619386101635",,,,,,,,,,,0,,
"Marco Aurélio Cazarotto Gomes","GOMES, M. A. C.","8","",,,,,,,,,,,0,,
"Marcos Ricardo Covre","COVRE, M. R.","9","",,,,,,,,,,,0,,
"Vanessa Testoni","TESTONI, V.","1","",,,,,,,,,,,1,,
"Otavio A.B. Penatti","PENATTI, O. A.","2","",,,,,,,,,,,1,,
"Sandra Eliza Fontes de Ávila","AVILA, S.E.F.","3","",,,,,,,,,,,1,,
"Eduardo Valle","VALLE, E.","4","",,,,,,,,,,,1,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","5","6540619386101635",,,,,,,,,,,1,,
"Miguel Gustavo Lizarraga Espinosa","ESPINOSA, M. G. L.","6","",,,,,,,,,,,1,,
"Diogo Coutinho Soriano","SORIANO, D. C.","1","",,,,,,,,,,,2,,
"Leonardo Tomazeli Duarte","DUARTE, L. T.","2","",,,,,,,,,,,2,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,,,,2,,
"Renato da Rocha Lopes","LOPES, R. R.","4","",,,,,,,,,,,2,,
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","5","",,,,,,,,,,,2,,
"Sarah Negreiros de Carvalho","CARVALHO, S. N.","6","",,,,,,,,,,,2,,
"Alice Tokarnia","TOKARNIA, A.","1","",,,,,,,,,,,3,,
"Christian Esteve Rothenberg","ROTHENBERG, C. E.","2","",,,,,,,,,,,3,,
"Eduardo Valle","VALLE, E.","3","",,,,,,,,,,,3,,
"Leticia Rittner","RITTNER, Leticia","4","",,,,,,,,,,,3,,
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","5","",,,,,,,,,,,3,,
"Shin-Ting Wu","WU, S.","6","",,,,,,,,,,,3,,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,,,4,,
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","2","",,,,,,,,,,,4,,
"Levy Bocatto","BOCATTO, L.","3","",,,,,,,,,,,4,,
"Eduardo Tavares Costa","COSTA, E. T.","1","",,,,,,,,,,,5,,
"Rafael Santos Mendes","MENDES, R. S.","10","",,,,,,,,,,,5,,
"Leonardo Tomazeli Duarte","DUARTE, L. T.","11","",,,,,,,,,,,5,,
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","2","",,,,,,,,,,,5,,
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,,,,5,,
"João Salinet","SALINET, J.","4","",,,,,,,,,,,5,,
"Darli A.A. Mello","MELLO, D. A.","5","",,,,,,,,,,,5,,
"Diogo Coutinho Soriano","SORIANO, D. C.","6","",,,,,,,,,,,5,,
"Fabio Violaro","VIOLARO, F.","7","",,,,,,,,,,,5,,
"Levy Boccato","BOCCATO, L.","8","",,,,,,,,,,,5,,
"Pedro Xavier de Oliveira","OLIVEIRA, P. X.","9","",,,,,,,,,,,5,,
"Clarissa Loureiro","LOUREIRO, C.","1","",,,,,,,,,,,6,,
"Eduardo Valle","VALLE, E.","2","",,,,,,,,,,,6,,
"Juliana Borin","BORIN, J.","3","",,,,,,,,,,,6,,
"Leticia Rittner","RITTNER, LETÍCIA","4","",,,,,,,,,,,6,,
"Leticia Rittner","RITTNER, LETÍCIA","1","",,,,,,,,,,,,0,
"Paula Paro Costa","COSTA, P. P.","2","",,,,,,,,,,,,0,
"Juliana Borin","BORIN, J.","3","",,,,,,,,,,,,0,
"Vanessa Testoni","TESTONI, V.","4","",,,,,,,,,,,,0,
"Clarissa Loureiro","LOUREIRO, C.","5","",,,,,,,,,,,,0,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",,,,,,,,,,,,1,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,,,,,,,,,,,1,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",,,,,,,,,,,,2,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,,,,,,,,,,,2,
"Leticia Rittner","RITTNER, Leticia","1","",,,,,,,,,,,,3,
"Emilio Loures","LOURES, E.","2","",,,,,,,,,,,,3,
"Lotufo, Roberto","Lotufo, Roberto","1","9224426261471914",,,,,,,,,,,,,0
"MACHADO, RUBENS","MACHADO, RUBENS","2","3022427606876489",,,,,,,,,,,,,0
"Leticia Rittner","RITTNER, Leticia","3","",,,,,,,,,,,,,0
"SOUZA, ROBERTO M.","SOUZA, ROBERTO M.","4","0692029921953122",,,,,,,,,,,,,0
"Mariana Bento","BENTO, M.P.","5","3166488236335695",,,,,,,,,,,,,0
"COSTA, ANDRÉ L.","COSTA, ANDRÉ L.","6","",,,,,,,,,,,,,0
