NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Visualização de imagens de tensores de difusão (pré e pós-segmentação)","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",0
"Congresso","3D texture-based classification applied on brain white matter lesions on MR images","2016","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",1
"Congresso","Divergence Map from Diffusion Tensor Imaging: Concepts and Application to Corpus Callosum","2016","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",2
"Congresso","","2012","Estados Unidos","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",3
"Congresso","Analysis of brain white matter hyperintensities using pattern recognition techniques","2013","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",4
"Congresso","Maximal Max-Tree Simplification.","2014","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",5
"Congresso","An overview of max-tree principles, algorithms and applications. 29th Conference on Graphics, Patterns and Images","2016","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",6
"Congresso","","1994","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",7
"Congresso","Multiple fuzzy object modeling improves sensitivity in automatic anatomy recognition","2014","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",8
"Congresso","Web-based platform for collaborative medical imaging research","2015","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",9
"Congresso","Adessowiki - Collaborative platform for writing executable papers","2011","Cingapura","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",10
"Congresso","Web-based platform for Medical Imaging Research","2014","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",11
"Congresso","Watershed-based Segmentation of the Corpus Callosum in Diffusion MRI","2012","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",12
"Congresso","Segmentation of DTI based on tensorial morphological gradient.","2009","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Segmentation of DTI based on tensorial morphological gradient.","NAO",13
"Congresso","A new approach for longitudinal study of white matter lesion based on texture variation","2016","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",14
"Congresso","","2012","Estados Unidos","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",15
