NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,O mito da cidade mundial paulistana
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Operações Urbanas
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Grandes Projetos de Desenvolvimento Urbano: o que se pode aprender com a experiência brasileira?
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",NAO,"AVALIAÇÃO DOS IMPACTOS DO PROGRAMA MINHA CASA, MINHA VIDA EM DINÂMICAS URBANO-REGIONAIS DIFERENCIADAS OS CASOS DE CAMPINAS E SÃO JOSÉ DO RIO PRETO NA REGIÃO SUDESTE E RECIFE E CARUARU NA REGIÃO NORDESTE DO BRASIL"
Cláudio Schuller Maciel,"MACIEL, C. S.",SIM,"AVALIAÇÃO DOS IMPACTOS DO PROGRAMA MINHA CASA, MINHA VIDA EM DINÂMICAS URBANO-REGIONAIS DIFERENCIADAS OS CASOS DE CAMPINAS E SÃO JOSÉ DO RIO PRETO NA REGIÃO SUDESTE E RECIFE E CARUARU NA REGIÃO NORDESTE DO BRASIL"
Humberto Miranda do Nascimento,"Nascimento, H. M.",NAO,"AVALIAÇÃO DOS IMPACTOS DO PROGRAMA MINHA CASA, MINHA VIDA EM DINÂMICAS URBANO-REGIONAIS DIFERENCIADAS OS CASOS DE CAMPINAS E SÃO JOSÉ DO RIO PRETO NA REGIÃO SUDESTE E RECIFE E CARUARU NA REGIÃO NORDESTE DO BRASIL"
Ana Cristina de Almeida Fernandes,"Fernandes, Ana Cristina de Almeida",NAO,"AVALIAÇÃO DOS IMPACTOS DO PROGRAMA MINHA CASA, MINHA VIDA EM DINÂMICAS URBANO-REGIONAIS DIFERENCIADAS OS CASOS DE CAMPINAS E SÃO JOSÉ DO RIO PRETO NA REGIÃO SUDESTE E RECIFE E CARUARU NA REGIÃO NORDESTE DO BRASIL"
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Imóveis e Finanças: o espaço do capital fictício
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Bolha Imobiliária e a Crise Financeira Mundial
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Bolha Imobiliária e Crise Financeira Mundial
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,"São Paulo, Favelas e Cortiços"
Pedro Fiori Arantes,"ARANTES, P. F.",NAO,"São Paulo, Favelas e Cortiços"
Giselle Tanaka,"TANAKA, G.",NAO,"São Paulo, Favelas e Cortiços"
Mariana de Azevedo Barretto Fix,"FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA",SIM,Políticas e planos nacionais setoriais e a questão metropolitana
