PROJETO-DE-PESQUISA_Id,SEQUENCIA-PROJETO,ANO-INICIO,ANO-FIM,NOME-DO-PROJETO,SITUACAO,NATUREZA,NUMERO-GRADUACAO,NUMERO-ESPECIALIZACAO,NUMERO-MESTRADO-ACADEMICO,NUMERO-MESTRADO-PROF,NUMERO-DOUTORADO,DESCRICAO-DO-PROJETO,IDENTIFICADOR-PROJETO,DESCRICAO-DO-PROJETO-INGLES,NOME-DO-PROJETO-INGLES,FLAG-POTENCIAL-INOVACAO,NOME-COORDENADOR-CERTIFICACAO,DATA-CERTIFICACAO,NUMERO_TECNICO_NIVEL_MEDIO,PARTICIPACAO-EM-PROJETO_Id
0,"1","2002","2004","ESTUDOS PRÉ-OPERACIONAIS DE TRANSITÓRIOS ELETROMAGNÉTICOS PARA A EXPANSÃO DA INTERLIGAÇÃO NORDESTE-SUDESTE","EM_ANDAMENTO","OUTRA","0","0","0","0","0","Os trabalhos previstos englobam estudos de transitório eletromagnéticos para energização de linhas e transformadores, de rejeição de carga e de religamento de linhas, considerada a operação de novos circuitos e de novas linhas na interligação Nordeste -Sudeste, sendo especificamente :
do novo circuito entre S. Mesa e Sapeaçu 500 kV, com a presença das LTs Tucuruí/P. Dutra C3 e S. Mesa-Miracema C2 500 kV.","","","","NAO","","","",0
1,"1","2002","2003","Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas","CONCLUIDO","PESQUISA","4","0","2","0","2","O projeto integrado consistiu na formação de um grupo de alunos nos assuntos relacionado com transitórios eletromagnéticos num sistema elétrico, em particular, em linhas de transmissão e transformador. Além destes tópicos foram incluídos mais dois tópicos, análise do modelo de transformador no ATP e descargas atmosféricas, o que propiciou a expansão das atividades de pesquisa e, principalmente, a formação mais abrangente dos alunos envolvidos. 
As tarefas foram bem definidas, sendo que dois alunos participaram de trabalhos de campo relacionados com captação de descargas atmosféricas, enquanto os demais alunos desenvolveram trabalhos teóricos, com subseqüente implementação computacional.","","","Projeto Integrado CNPq - Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas","NAO","","","",1
2,"1","2002","2004","Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS","CONCLUIDO","PESQUISA","4","0","0","0","2","A presente proposta de pesquisa, a ser realizada pelo conjunto de três universidades (Universidade de São Paulo -
Escola de Engenharia de São Carlos; COPPE / Universidade Federal do Rio de Janeiro e Universidade Estadual
de Campinas), apresenta a continuação do estudo realizado desde 1996, no que diz respeito à linha de
transmissão e transformador. Além destes tópicos já cobertos num projeto em andamento, proc. 520061/99-3(NV)
EE AI, na proposta atual estão incluídos mais dois tópicos, análise do modelo de transformador no ATP e
descargas atmosféricas. Estes novos tópicos propiciarão a expansão das atividades de pesquisa e, principalmente,
a formação mais abrangente dos alunos envolvidos.
O trabalho de linha de transmissão foi iniciado no doutorado da Dra. Maria Cristina Tavares, em 1998. Ao longo
destes anos foram apresentados diversos artigos técnicos em congressos internacionais e nacionais, além de
publicações em revistas internacionais. Atualmente a equipe congrega 03 alunos de doutorado (UNICAMP) e 07
alunos de iniciação científica (EESC/USP).
As pesquisas em andamento são sobre linha de transmissão e proteção diferencial de transformador. No caso de
linha de transmissão, o modelo desenvolvido no doutorado consiste numa representação mais precisa da linha
para ser utilizada em estudos de transitórios. No modelo da proteção do transformador, são representados o
transformador e o seu sistema de proteção diferencial com detalhes, tendo como objetivo final permitir a análise
de desempenho da proteção. Apesar de serem trabalhos distintos, em ambos é utilizada a mesma ferramenta
computacional, o ATP, com a qual a equipe está bastante familiarizada. Pretende-se aumentar o número de
alunos capacitados a utilizá-la, por ser esta uma ferramenta de uso disseminado na área de estudos de sistema de
potência.
Duas novas propostas de pesquisa são apresentadas. A primeira refere-se ao estudo do modelo interno de
transformador de três enrolamentos do ATP,","","","Edital Universal 2001 - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS","NAO","","","",2
3,"1","2004","2010","COPPETEC - Desenvolvimento de Modelo de Arco Secundário","CONCLUIDO","PESQUISA","1","0","3","0","1","Análise e processamento crítico de resultados experimentais que deverão ser fornecidos ao longo do projeto, de forma a caracterizar e quantificar modelos que caracterizem o comportamento dinâmico de arcos no ar aplicáveis à abertura e religamento monofásico.","","Análise e processamento crítico de resultados experimentais que deverão ser fornecidos ao longo do projeto, de forma a caracterizar e quantificar modelos que caracterizem o comportamento dinâmico de arcos no ar aplicáveis à abertura e religamento monofásico.","Desenvolvimento de Modelo de Arco Secundário","NAO","","","",3
4,"1","2004","2006","Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR","EM_ANDAMENTO","PESQUISA","2","0","5","0","2","As pesquisas a serem desenvolvidas envolvem modelagem de linha de transmissão, especificamente uma melhor representação do comportamento eletromagnético do solo, a análise do efeito da transposição de linhas de transmissão nos transitórios do sistema de potência, uma extensa análise de sensibilidade dos parâmetros elétricos de linha de transmissão. Também será estudada a proteção diferencial do transformador de potência através da representação da proteção na TACS e MODELS do ATP num sistema elétrico com dados reais. Uma nova pesquisa relacionada ao estudo do religamento monopolar está sendo iniciada, devendo trazer importantes contribuições para o Sistema Interligado Nacional.","","","","NAO","","","",4
5,"2","2008","2011","Projeto Individual Fapesp (proc 07/08482-3) - Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar","CONCLUIDO","DESENVOLVIMENTO","","","3","","4","Ao longo do projeto iremos avaliar a manobra monopolar para diversos sistemas de transmissão, incluindo transmissão a longa distância. Participamos em parceria com a UFRJ, FURNAS e CEPEL de projeto para desenvolvimento de modelo de arco secundário, e iremos ao longo do projeto avançar na caracterização e no desenvolvimento do modelo de arco secundário.","","","","NAO","","","",4
6,"3","2007","2010","Projeto individual FAPESP (proc 07/01659-5) Estudos de Transitórios Eletromagnéticos e Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar","EM_ANDAMENTO","DESENVOLVIMENTO","","","3","","4","","","","Estudos de Transitórios Eletromagnéticos e Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar","NAO","","","",5
7,"4","2008","2010","Universal CNPq 2007 proc. . 470926/2007-4 - Consolidação do Grupo de Estudo de Transitórios Eletromagnéticos com Contribuições para a Manobra de Religamento Monopolar e Avaliação de Alternativas para a Expansão do Sistema Elétrico Brasileiro","CONCLUIDO","DESENVOLVIMENTO","","","3","","4","As pesquisas a serem desenvolvidas envolvem modelagem de linha de transmissão, uma melhor representação do comportamento eletromagnético do solo, a análise do efeito da transposição de linhas de transmissão nos transitórios do sistema de potência, uma extensa análise de sensibilidade dos parâmetros elétricos de linha de transmissão. Também será estudada a proteção diferencial do transformador de potência através da representação da proteção na TACS e MODELS do ATP num sistema elétrico com dados reais. 
Uma nova pesquisa será iniciada durante o projeto : alternativas para a expansão do sistema elétrico nacional a partir da geração hidroelétrica da Região Amazônica. Nesta região são estimados montantes da ordem de 100 GW a serem transmitidos para os centros consumidores do Sudeste e Nordeste por troncos de transmissão de comprimentos médios da ordem de 2500 ? 3000 km. Na alternativa CA devem-se estudar linhas não convencionais compactas com feixes expandidos e ultra alta tensão (acima de 1000 kV). Entende-se que ambas as alternativas CC e CA devam ser criteriosamente estudadas antes de se definir qual a solução a ser adotada. O nosso grupo deverá investir no estudo da alternativa em CA. 
Com relação à manobra de religamento monopolar, ao longo do projeto iremos avaliar a manobra monopolar para diversos sistemas de transmissão, incluindo transmissão a longa distância. Participamos em parceria com a UFRJ, FURNAS e CEPEL de projeto para desenvolvimento de modelo de arco secundário.","","","","NAO","","","",6
8,"5","2010","2013","CNPq - Edital Universal Universal 2010 ? Proc. 476341/2010-8 Contribuição Para O Estudo De Transitórios Eletromagnéticos, Desenvolvimento De Metodologias Inovadoras Para Religamento De Linhas De Transmissão E Para A Expansão Do Sistema Elétrico Brasileiro","CONCLUIDO","PESQUISA","1","","3","","2","modelagem matemática de arco elétrico
otimização de linha de transmissão para a manobra de religamento monopolar
religamento tripolar adaptativo rápido
transitórios eletromagnéticos em linha de um pouco mais de meio comprimento de onda - elo ca
aumento da capacidade de transmissão de linha de transmissão","","","CNPq - Edital Universal Universal 2010 ? Proc. 476341/2010-8 Contribuição Para O Estudo De Transitórios Eletromagnéticos, Desenvolvimento De Metodologias Inovadoras Para Religamento De Linhas De Transmissão E Para A Expansão Do Sistema Elétrico Brasileiro","NAO","","","",7
9,"6","2011","","P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008","EM_ANDAMENTO","EXTENSAO","1","","3","","2","P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008 - Ensaio de Transmissão de Energia em Linha de Pouco Mais de Meio Comprimento de Onda","","","P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008","SIM","","","",8
10,"7","2010","2013","Projeto de Pesquisa Individual FAPESP (Proc. 10/07536-5) ?Contribuição para o Estudo de Transitórios Eletromagnéticos e para a Expansão do Sistema Elétrico Brasileiro?.","CONCLUIDO","PESQUISA","1","","3","","3","Contribuição para o Estudo de Transitórios Eletromagnéticos e para a Expansão do Sistema Elétrico Brasileiro","","","Projeto de Pesquisa Individual FAPESP (Proc. 10/07536-5) ?Contribuição para o Estudo de Transitórios Eletromagnéticos e para a Expansão do Sistema Elétrico Brasileiro?.","NAO","","","",9
