AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
322,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
